date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY
,revenue,86266000000.0,91244000000.0,91247000000.0,87352000000.0,83701000000.0,82246000000.0,83117000000.0,86041000000.0,81264000000.0,86094000000.0,105927000000.0,109629000000.0,72782000000.0,66319000000.0,72580000000.0,57175000000.0,51017000000.0,38827000000.0,35124000000.0,35113000000.0,32956000000.0,32546000000.0,31504000000.0,13053000000.0,10042000000.0,8536000000.0,7807000000.0,6822000000.0,6260000000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,41244000000.0,42019000000.0,44237000000.0,45408000000.0,44705000000.0,46151000000.0,63495000000.0,56789000000.0,58543000000.0,62271000000.0,55331000000.0,50439000000.0,18371000000.0,18753000000.0,18211000000.0,15054000000.0,13473000000.0,10446000000.0,9682000000.0,9829000000.0,9400000000.0,9308000000.0,9412000000.0,3643000000.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,5134000000.0,4696000000.0,1674000000.0,1746000000.0,1703000000.0,1811000000.0,1829000000.0,1834000000.0,1873000000.0,2203000000.0,1963000000.0,1933000000.0,2368000000.0,2356000000.0,2336000000.0,1255000000.0,1349000000.0,985000000.0,753000000.0,682000000.0,621000000.0,537000000.0,581000000.0,300000000.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299000000.0,967000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
