date,,2020-08-31_FY,2019-08-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,597337.0,2870389.0
,depreciationAndAmortization,0.0,0.0
,deferredIncomeTax,0.0,0.0
,stockBasedCompensation,0.0,0.0
,changeInWorkingCapital,24598758.0,-5581179.0
,accountsReceivables,0.0,0.0
,inventory,0.0,0.0
,accountsPayables,0.0,0.0
,otherWorkingCapital,0.0,0.0
,otherNonCashItems,-3972080.0,4586823.0
,netCashProvidedByOperatingActivites,21224015.0,1876033.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0
,acquisitionsNet,0.0,0.0
,purchasesOfInvestments,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0
,otherInvestingActivites,0.0,0.0
,netCashUsedForInvestingActivites,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0
,commonStockIssued,0.0,0.0
,commonStockRepurchased,0.0,0.0
,dividendsPaid,-9499991.0,-9694970.0
,otherFinancingActivites,-10000000.0,0.0
,netCashUsedProvidedByFinancingActivities,-19499991.0,-9694970.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,51411.0,-150980.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,1775435.0,-7969917.0
,cashAtEndOfPeriod,3370670.0,1595235.0
,cashAtBeginningOfPeriod,1595235.0,9565152.0
,operatingCashFlow,21224015.0,1876033.0
,capitalExpenditure,0.0,0.0
,freeCashFlow,21224015.0,1876033.0
