date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,6914000000.0,7096000000.0,6218000000.0,5888000000.0,5879000000.0,5851000000.0,5836000000.0,5647000000.0,4872000000.0,3317000000.0,2205000000.0,2946000000.0,4324000000.0,4751000000.0,4489000000.0,4166800000.0,3732600000.0,3289200000.0,1706500000.0,1592000000.0,875300000.0,430100000.0,194800000.0
,depreciationAndAmortization,502000000.0,467000000.0,468000000.0,470000000.0,481000000.0,501000000.0,520000000.0,561000000.0,565000000.0,596000000.0,607000000.0,573000000.0,619000000.0,588000000.0,689000000.0,794500000.0,957600000.0,838300000.0,813500000.0,387300000.0,292300000.0,194700000.0,40300000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,-69000000.0,49000000.0,748000000.0,-370000000.0,0.0,-1045000000.0,-97000000.0,-3000000.0,-301000000.0,281300000.0,272700000.0,357900000.0,-184000000.0,44600000.0,197200000.0,72300000.0,33700000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123000000.0,-2006000000.0,-196000000.0,0.0,0.0,2686000000.0,81800000.0,-237000000.0,168600000.0,130400000.0,-67200000.0,-90000000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,-2800000000.0,2526000000.0,-330000000.0,-775000000.0,2686000000.0,-853000000.0,4937000000.0,2950000000.0,449000000.0,1495000000.0,1607000000.0,3760000000.0,332000000.0,864000000.0,-1149000000.0,86200000.0,1333700000.0,-369800000.0,511600000.0,390600000.0,1093500000.0,-1051000000.0,48800000.0
,netCashProvidedByOperatingActivites,4889000000.0,10564000000.0,6472000000.0,5336000000.0,8782000000.0,5332000000.0,11446000000.0,7958000000.0,9820000000.0,5241000000.0,7600000000.0,5307000000.0,2602000000.0,5429000000.0,3412000000.0,5224800000.0,8682200000.0,3786300000.0,2181900000.0,2583100000.0,2647400000.0,-418500000.0,226900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,3436000000.0,-58000000.0,94000000.0,636000000.0,923000000.0,3074000000.0,1483000000.0,-111000000.0,-600000000.0,-1008000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-40515000000.0,-19870000000.0,-27572000000.0,-38855000000.0,-29736000000.0,-37349000000.0,-26364000000.0,-26852000000.0,-31729000000.0,-25035000000.0,-15124000000.0,-6075000000.0,-9816000000.0,-7080000000.0,-13148000000.0,-19623900000.0,-51127300000.0,-26469800000.0,-32278600000.0,-350200000.0,-7362800000.0,-1424900000.0,-234900000.0
,salesMaturitiesOfInvestments,31843000000.0,19430000000.0,24432000000.0,34235000000.0,24652000000.0,17166000000.0,19681000000.0,23770000000.0,15135000000.0,17447000000.0,13102000000.0,7856000000.0,6346000000.0,6453000000.0,15303000000.0,20477000000.0,35523200000.0,25633400000.0,23812400000.0,1315000000.0,9706100000.0,2018500000.0,570900000.0
,otherInvestingActivites,-1295000000.0,-471000000.0,-350000000.0,322000000.0,-1526000000.0,506000000.0,-303000000.0,-1261000000.0,-1070000000.0,-936000000.0,-74000000.0,-19583000000.0,-11425000000.0,-7622000000.0,-12920000000.0,-8854600000.0,-3151300000.0,-2046700000.0,5856300000.0,-4950000000.0,-3139700000.0,-146800000.0,-807200000.0
,netCashUsedForInvestingActivites,-21560000000.0,-8977000000.0,-12126000000.0,-17958000000.0,-21150000000.0,-29812000000.0,-21024000000.0,-20253000000.0,-32704000000.0,-16372000000.0,-719000000.0,-16319000000.0,-15006000000.0,-8849000000.0,-11773000000.0,-8515600000.0,-19425500000.0,-1944100000.0,-3650500000.0,-4502200000.0,-1068400000.0,292100000.0,-493300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-11119000000.0,-2928000000.0,-10517000000.0,-9495000000.0,-5311000000.0,-4128000000.0,-2883000000.0,-11415000000.0,-3300000000.0,-8394000000.0,-16188000000.0,-16546000000.0,-16836000000.0,-13120000000.0,-12848000000.0,13704300000.0,-8967900000.0,-8367500000.0,-10539600000.0,-3815500000.0,-2653300000.0,-789200000.0,0.0
,commonStockIssued,88000000.0,86000000.0,159000000.0,355000000.0,295000000.0,453000000.0,524000000.0,395000000.0,180000000.0,119000000.0,2703000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
