date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2015-09-30_FY,2015-06-30_FY,2015-03-31_FY,2014-12-31_FY,2014-09-30_FY,2014-06-30_FY,2014-03-31_FY,2013-12-31_FY,2013-06-30_FY,2013-03-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY,1994-06-30_FY,1993-06-30_FY,1992-06-30_FY,1991-06-30_FY,1990-06-30_FY,1989-06-30_FY,1988-06-30_FY,1987-06-30_FY
,revenue,476294000.0,367383000.0,356393000.0,346298000.0,349471000.0,358876000.0,0.0,0.0,0.0,399150000.0,0.0,0.0,0.0,401669000.0,0.0,0.0,199994000.0,191239000.0,157496000.0,189019000.0,99069000.0,116232000.0,61364000.0,49500000.0,121298000.0,133245000.0,113450000.0,90250000.0,48435000.0,67676000.0,78100000.0,66000000.0,54900000.0,47600000.0,39100000.0,0.0,24400000.0,16600000.0,11500000.0,9000000.0,6900000.0,0.0,0.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,174261000.0,102706000.0,97753000.0,99908000.0,99517000.0,101139000.0,0.0,0.0,0.0,107201000.0,0.0,0.0,0.0,108686000.0,0.0,0.0,56440000.0,62095000.0,58445000.0,50106000.0,30572000.0,28376000.0,24630000.0,32500000.0,26663000.0,24579000.0,20563000.0,17178000.0,15672000.0,15698000.0,15100000.0,15100000.0,14700000.0,12700000.0,10900000.0,0.0,5800000.0,4300000.0,3200000.0,2200000.0,2000000.0,0.0,0.0
,SellingAndMarketingExpenses,5851000.0,5208000.0,5084000.0,5616000.0,5485000.0,6452000.0,0.0,0.0,0.0,7014000.0,0.0,0.0,0.0,7025000.0,0.0,0.0,6254000.0,5975000.0,4978000.0,4208000.0,3970000.0,4472000.0,4466000.0,0.0,6506000.0,7466000.0,7052000.0,6717000.0,4298000.0,3094000.0,3000000.0,2600000.0,2000000.0,1600000.0,1200000.0,0.0,700000.0,600000.0,400000.0,200000.0,100000.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1061000.0,0.0,0.0,0.0,19808000.0,17166000.0,60074000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
