date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,514000000.0,-104500000.0,589200000.0,417900000.0,713700000.0,651639000.0,340074000.0,174560000.0,304442000.0,217868000.0,105916000.0,19462000.0,-42789000.0,19859000.0,73965000.0,65016000.0,15449000.0,-9969000.0,-23651000.0,-37287749.0,-75608490.0,-33500000.0
,depreciationAndAmortization,49000000.0,45900000.0,35900000.0,31000000.0,31600000.0,32921000.0,32245000.0,31259000.0,27145000.0,20535000.0,17920000.0,11394000.0,4536000.0,957000.0,1464000.0,2414000.0,2276000.0,2325000.0,3135000.0,3514785.0,-79736.0,-1300000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,185106000.0,104343000.0,136229000.0,0.0,41923000.0,-1038000.0,-31211000.0,-3276000.0,-37047000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,163000000.0,45400000.0,-26400000.0,73500000.0,12100000.0,280254000.0,190054000.0,320786000.0,30115000.0,-15715000.0,113942000.0,101015000.0,28703000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,442500000.0,-89900000.0,488200000.0,-89100000.0,257789000.0,364624000.0,248548000.0,-270376000.0,141837000.0,14077000.0,341481000.0,-245301000.0,159920000.0,-178423000.0,105890000.0,55606000.0,17525000.0,-53447000.0,74345186.0,-152423098.0,162527912.0,1800000.0
,accountsReceivables,-6000000.0,24400000.0,121400000.0,-82700000.0,-21700000.0,-30540000.0,-35689000.0,-10027000.0,-23991000.0,-16158000.0,-23452000.0,-21956000.0,-2329000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,10000000.0,12900000.0,9300000.0,-500000.0,-24500000.0,-6794000.0,-21032000.0,-12394000.0,-5933000.0,-16055000.0,-9196000.0,-9061000.0,-2630000.0,-2339000.0,-1006000.0,-3461000.0,-385000.0,-1202000.0,-1867000.0,-4035729.0,-2115049.0,0.0
,accountsPayables,38000000.0,0.0,0.0,66200000.0,600000.0,16972000.0,-6753000.0,7507000.0,-37207000.0,16656000.0,-2734000.0,-3645000.0,18509000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,1844000000.0,1401500000.0,1491400000.0,1003200000.0,1092300000.0,834511000.0,469887000.0,221339000.0,491715000.0,349878000.0,335801000.0,-5680000.0,239621000.0,79701000.0,258124000.0,152234000.0,96628000.0,79103000.0,132550000.0,58204814.0,210627912.0,48100000.0
,otherNonCashItems,0.0,-29700000.0,1800000.0,-19400000.0,9500000.0,5426000.0,18949000.0,13193000.0,12274000.0,336349000.0,2398000.0,9169000.0,586000.0,35670000.0,15917000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
,netCashProvidedByOperatingActivites,755000000.0,-206600000.0,778400000.0,474200000.0,643600000.0,382761000.0,355259000.0,425267000.0,323628000.0,250195000.0,211532000.0,97624000.0,-49172000.0,49083000.0,51784000.0,43700000.0,20778000.0,-8562000.0,-22258000.0,-38898777.0,-31114847.0,-23700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-59300000.0,-83700000.0,-184400000.0,-86300000.0,-38000000.0,-49792000.0,-47439000.0,-31910000.0,-111905000.0,-35977000.0,-18640000.0,-95400000.0,-124415000.0,-38658000.0,-15634000.0,-6117000.0,-5217000.0,-7004000.0,-3581000.0,-687293.0,-639875.0,-2300000.0
,acquisitionsNet,0.0,0.0,-124000000.0,0.0,-5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-2308000000.0,-1271500000.0,-862000000.0,-830600000.0,-36800000.0,-116998000.0,-163672000.0,-762198000.0,-579316000.0,-815684000.0,-662225000.0,-310634000.0,-345963000.0,-301986000.0,-207151000.0,-78059000.0,-37474000.0,-44711000.0,-11218000.0,-152519965.0,-56658901.0,-114300000.0
,salesMaturitiesOfInvestments,1523000000.0,1040300000.0,400900000.0,72900000.0,130400000.0,320369000.0,549576000.0,529900000.0,527858000.0,733876000.0,457728000.0,249083000.0,297901000.0,318938000.0,118760000.0,12900000.0,30000000.0,0.0,140567000.0,18385765.0,76453000.0,92600000.0
,otherInvestingActivites,0.0,0.0,-46000000.0,100000.0,0.0,0.0,0.0,0.0,0.0,-1000.0,13901000.0,-4776000.0,0.0,0.0,0.0,0.0,-1000000.0,3841000.0,-5414000.0,0.0,-3865896.0,-100000.0
,netCashUsedForInvestingActivites,-738500000.0,-335400000.0,-820600000.0,-835600000.0,48300000.0,503579000.0,338465000.0,-294974000.0,-163363000.0,-121333000.0,-209236000.0,-160519000.0,-172477000.0,-21706000.0,-104025000.0,-71276000.0,-12870000.0,-47538000.0,120355000.0,-134781493.0,7156896.0,-24100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1000000.0,-200000000.0,-250000000.0,0.0,-8800000.0,-133150000.0,-317800000.0,-1320000.0,-999000.0,-251039000.0,-31442000.0,0.0,-23000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,3900000.0,4100000.0,4300000.0,3954000.0,3329000.0,2734000.0,0.0,0.0,0.0,0.0,150000000.0,58344000.0,14445000.0,14965000.0,7090000.0,4085000.0,245000.0,0.0,210584729.0,58400000.0
,commonStockRepurchased,0.0,0.0,0.0,-250000000.0,-500000000.0,-394484000.0,-483077000.0,-42439000.0,-188000000.0,0.0,0.0,0.0,0.0,-67059000.0,-193086000.0,0.0,0.0,0.0,0.0,-2801840.0,-4072316.0,0.0
