date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,59215000.0,85612000.0,65331000.0,66547000.0,-8176000.0,21224000.0
,depreciationAndAmortization,40520000.0,38854000.0,30153000.0,23271000.0,21241000.0,20580000.0
,deferredIncomeTax,6948000.0,25403000.0,15201000.0,220000.0,132000.0,64000.0
,stockBasedCompensation,8599000.0,6995000.0,4704000.0,0.0,361000.0,359000.0
,changeInWorkingCapital,52470000.0,123876000.0,88826000.0,52599000.0,-15313000.0,432000.0
,accountsReceivables,555000.0,4204000.0,-8105000.0,-50094000.0,509000.0,12829000.0
,inventory,4840000.0,-17592000.0,-38227000.0,-28279000.0,4126000.0,10563000.0
,accountsPayables,-19434000.0,-607000.0,7651000.0,19505000.0,5014000.0,-18703000.0
,otherWorkingCapital,376227000.0,323757000.0,199881000.0,111055000.0,58456000.0,73769000.0
,otherNonCashItems,0.0,-14503000.0,275000.0,1752000.0,1777000.0,1913000.0
,netCashProvidedByOperatingActivites,143380000.0,209632000.0,167180000.0,34707000.0,23975000.0,45927000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-18000000.0,-59703000.0,-70053000.0,0.0,-21677000.0,-25281000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-147000.0,3755000.0,1899000.0,-30678000.0,4319000.0,1859000.0
,netCashUsedForInvestingActivites,-18147000.0,-55948000.0,-68154000.0,-30678000.0,-17358000.0,-23422000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-5317000.0,-7484000.0,-254803000.0,-5313000.0,-8116000.0,-10525000.0
,commonStockIssued,0.0,0.0,828168000.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,-1549000.0,0.0,0.0,0.0,0.0
,dividendsPaid,-17140000.0,-4244000.0,-31848000.0,0.0,-2055000.0,-12232000.0
,otherFinancingActivites,-17749000.0,-8392000.0,-576521000.0,0.0,0.0,-19000.0
,netCashUsedProvidedByFinancingActivities,-40206000.0,-21669000.0,-35004000.0,-5313000.0,-10171000.0,-22776000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,1029000.0,-253000.0,-755000.0,170000.0,-284000.0,-128000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,86056000.0,131762000.0,63267000.0,-1114000.0,-3838000.0,-399000.0
,cashAtEndOfPeriod,0.0,202603000.0,70841000.0,7574000.0,8688000.0,12526000.0
,cashAtBeginningOfPeriod,0.0,70841000.0,7574000.0,8688000.0,12526000.0,12925000.0
,operatingCashFlow,143380000.0,209632000.0,167180000.0,34707000.0,23975000.0,45927000.0
,capitalExpenditure,0.0,-59703000.0,-70053000.0,-32082000.0,-21721000.0,-25281000.0
,freeCashFlow,143380000.0,149929000.0,97127000.0,2625000.0,2254000.0,20646000.0
