Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2014-03-31,2013-12-31,2013-12,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31
Depreciation & Amortization,13647000.0,7000000.0,9427000.0,1000000.0,37936000.0,000000.0,40698000.0,000000.0,0.0,0.0,000000.0,0.0,0.0,0.0,0.0,0.0
Stock-based compensation,236000.0,0000000.0,2130000.0,2000000.0,1558000.0,2000000.0,940000.0,1000000.0,0.0,135000.0,0000000.0,0.0,0.0,0.0,76000.0,0.0
Operating Cash Flow,97016000.0,97000000.0,87346000.0,87000000.0,117589000.0,118000000.0,131707000.0,132000000.0,0.0,224176000.0,224000000.0,0.0,0.0,0.0,118431000.0,0.0
Capital Expenditure,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
Investment purchases and sales,0.0,-319000000,-26452000.0,976000000,-53357000.0,1472000000,-4208000.0,1934000000,0.0,-154078000.0,-1673000000,0.0,0.0,0.0,-6777000.0,0.0
Investing Cash flow,-687438000.0,-687000000.0,752228000.0,752000000.0,1344304000.0,1344000000.0,1685937000.0,1686000000.0,190599000.0,-1349999000.0,-1350000000.0,204129000.0,316975000.0,311252000.0,-5012369000.0,57428000.0
Issuance (repayment) of debt,-25969373000.0,-34000000.0,-28676318000.0,-0000000.0,-48604320000.0,000000.0,-43236193000.0,000000.0,-0.0,-1.03002208e+11,000000.0,-0.0,-0.0,-0.0,-28004342000.0,-0.0
Issuance (buybacks) of shares,0.0,,-26452000.0,,-53357000.0,,-4208000.0,,-190599000.0,429837000.0,,-204129000.0,-316975000.0,-311252000.0,573154000.0,-57428000.0
Dividend payments,-84614000.0,,-78460000.0,,-108907000.0,,-134881000.0,,-0.0,-167331000.0,,-0.0,-0.0,-0.0,-82286000.0,-0.0
Financing Cash Flow,590544000.0,591000000.0,-885253000.0,-885000000.0,-1496005000.0,-1496000000.0,-1820611000.0,-1821000000.0,0.0,1174907000.0,1175000000.0,0.0,0.0,0.0,4993824000.0,0.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,122000.0,0000000.0,-45679000.0,-46000000.0,-34112000.0,-34000000.0,-2967000.0,-3000000.0,190599000.0,49084000.0,49000000.0,204129000.0,316975000.0,311252000.0,99886000.0,57428000.0
Free Cash Flow,97016000.0,97000000.0,87346000.0,87000000.0,117589000.0,118000000.0,131707000.0,132000000.0,0.0,224176000.0,224000000.0,0.0,0.0,0.0,118431000.0,0.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
