date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2015-02-27_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,revenue,79619000000.0,95215000000.0,121616000000.0,120468000000.0,119687000000.0,115158000000.0,148589000000.0,147811000000.0,142937000000.0,144796000000.0,142237000000.0,150211000000.0,156783000000.0,182515000000.0,172738000000.0,163391000000.0,149702000000.0,152363000000.0,134187000000.0,131698000000.0,125913000000.0,129853000000.0,110832000000.0,99820000000.0,88540000000.0,78541000000.0,69276000000.0,59316000000.0
,costOfRevenue,60421000000.0,72560000000.0,95653000000.0,95079000000.0,91273000000.0,84994000000.0,61257000000.0,89708000000.0,86408000000.0,86007000000.0,82123000000.0,71713000000.0,75921000000.0,83772000000.0,73125000000.0,74110000000.0,66814000000.0,61759000000.0,51206000000.0,52856000000.0,49097000000.0,51823000000.0,39267000000.0,36420000000.0,36006000000.0,29086000000.0,27376000000.0,25755000000.0
,grossProfit,19198000000.0,22655000000.0,25963000000.0,25389000000.0,28414000000.0,30164000000.0,87332000000.0,58103000000.0,56529000000.0,58789000000.0,60114000000.0,78498000000.0,80862000000.0,98743000000.0,99613000000.0,89281000000.0,82888000000.0,90604000000.0,82981000000.0,78842000000.0,76816000000.0,78030000000.0,71565000000.0,63400000000.0,52534000000.0,49455000000.0,41900000000.0,33561000000.0
,grossProfitRatio,0.241123349954157,0.237935199285827,0.213483423233785,0.210753063054089,0.237402558339669,0.261935775195818,0.587742026664154,0.393089824167349,0.395481925603588,0.406012597033067,0.422632648326385,0.522584897244543,0.515757448192725,0.541013067419116,0.576671027799326,0.546425445709984,0.553686657492886,0.594658808240846,0.618398205489354,0.598657534662637,0.610072033864653,0.600910260063302,0.645707016024253,0.635143257864155,0.593336345154732,0.629671127181981,0.604827068537444,0.565800121383775
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,2565000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,15018000000.0,17243000000.0,16011000000.0,18280000000.0,18377000000.0,17831000000.0,0.0,0.0,0.0,0.0,2912000000.0,41116000000.0,40821000000.0,45234000000.0,43766000000.0,40628000000.0,40745000000.0,53775000000.0,48096000000.0,46322000000.0,43224000000.0,45392000000.0,39717000000.0,34694000000.0,30949000000.0,27329000000.0,21831000000.0,17367000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,8570000000.0,-2509000000.0,-2834000000.0,-3632000000.0,-982000000.0,-2608000000.0,34026000000.0,-34026000000.0,-32035000000.0,-33824000000.0,-32321000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
