Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12
Cash and cash equivalents,152106000.0,42052000.0,42000000.0,71491000.0,71000000.0,80783000.0,81000000.0,236579000.0,237000000.0,375118000.0,375000000.0
Short-term investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Cash and short-term investments,152106000.0,42052000.0,,71491000.0,,80783000.0,,236579000.0,,375118000.0,
Receivables,805000.0,781000.0,47000000.0,1682000.0,31000000.0,26103000.0,18000000.0,10515000.0,8000000.0,4196000.0,7000000.0
Inventories,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Total current assets,201570000.0,90049000.0,1427000000.0,103711000.0,868000000.0,99503000.0,751000000.0,245805000.0,350000000.0,382544000.0,274000000.0
Property Plant & Equipment Net,1409184000.0,1416416000.0,1416000000.0,865080000.0,865000000.0,747282000.0,747000000.0,348883000.0,349000000.0,272184000.0,272000000.0
Goodwill and Intangible Assets,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Long-term investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Tax assets,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Total non-current assets,1418039000.0,1427303000.0,1278000000.0,868198000.0,897000000.0,750604000.0,547000000.0,350268000.0,3000000.0,273898000.0,5000000.0
Total assets,1619609000.0,1517352000.0,1517000000.0,971909000.0,972000000.0,850107000.0,850000000.0,596073000.0,596000000.0,656442000.0,656000000.0
Payables,14406000.0,18633000.0,19000000.0,10652000.0,11000000.0,9264000.0,9000000.0,4297000.0,4000000.0,8289000.0,8000000.0
Short-term debt,425000.0,202000.0,,0.0,,913000.0,,1200000.0,,1048000.0,
Total current liabilities,42126000.0,33322000.0,33000000.0,19023000.0,19000000.0,13272000.0,13000000.0,7440000.0,7000000.0,10314000.0,10000000.0
Long-term debt,989857000.0,905283000.0,1275000000.0,525355000.0,370000000.0,175246000.0,370000000.0,1519000.0,000000.0,3079000.0,000000.0
Total debt,990282000.0,905485000.0,1275000000.0,525355000.0,370000000.0,176159000.0,370000000.0,2719000.0,000000.0,4127000.0,000000.0
Deferred revenue,442064000.0,0.0,1000000.0,0.0,4000000.0,0.0,0000000.0,0.0,0000000.0,0.0,0000000.0
Tax Liabilities,4349000.0,5141000.0,000000.0,2457000.0,1000000.0,1276000.0,0000000.0,0.0,1000000.0,0.0,1000000.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Total non-current liabilities,993780000.0,908233000.0,1278000000.0,527062000.0,897000000.0,176682000.0,547000000.0,3414000.0,3000000.0,4537000.0,5000000.0
Total liabilities,1320906000.0,1311555000.0,1312000000.0,916085000.0,916000000.0,559954000.0,560000000.0,10854000.0,11000000.0,14851000.0,15000000.0
Other comprehensive income,298703000,205797000,213000000.0,55824000,66000000.0,290153000,296000000.0,585219000,581000000.0,641591000,635000000.0
Retained earnings (deficit),0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Total shareholders equity,298703000.0,205797000.0,206000000.0,55824000.0,56000000.0,290153000.0,290000000.0,585219000.0,585000000.0,641591000.0,642000000.0
Investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Net Debt,838176000.0,863433000.0,1233000000,453864000.0,299000000,95376000.0,289000000,-233860000.0,-237000000,-370991000.0,-375000000
Other Assets,0.0,0.0,11000000,0.0,3000000,0.0,4000000,0.0,2000000,0.0,2000000
Other Liabilities,285000000.0,370000000.0,8000000,370000000.0,527000000,370000000.0,176000000,0.0,1000000,0.0,1000000
