Date,2018-12-31,2017-12-31
Depreciation & Amortization,1378784.0,1132046.0
Stock-based compensation,0.0,0.0
Operating Cash Flow,6796785.0,3017456.0
Capital Expenditure,-1875037.0,-1460262.0
Acquisitions and disposals,-831934.0,-659132.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-3093956.0,-2327181.0
Issuance (repayment) of debt,-3098181.0,-1533724.0
Issuance (buybacks) of shares,0.0,2613529.0
Dividend payments,0.0,0.0
Financing Cash Flow,-3098181.0,1041789.0
Effect of forex changes on cash,-132326.0,-94249.0
Net cash flow / Change in cash,604648.0,1732064.0
Free Cash Flow,4921748.0,1557194.0
Net Cash/Marketcap,0.0013,0.0013
