date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY
,revenue,243509000.0,655204000.0,595436000.0,487649000.0,426052000.0,368608000.0,172842000.0,80785000.0,85200000.0,15797000.0,19200000.0,2300000.0,400000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56600000.0,0.0,12700000.0,1400000.0,1500000.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28600000.0,0.0,6400000.0,800000.0,-1100000.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335680751173709,0.0,0.333333333333333,0.347826086956522,-2.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1700000.0,1900000.0
,GeneralAndAdministrativeExpenses,213021000.0,238292000.0,228641000.0,191683000.0,207172000.0,122182000.0,117068000.0,34440000.0,53657000.0,7360000.0,-11840090000.0,-6129498000.0,-2342162000.0
,SellingAndMarketingExpenses,79055000.0,279423000.0,268517000.0,229865000.0,216670000.0,171526000.0,87278000.0,39037000.0,-20857000.0,17669000.0,11855890000.0,6138798000.0,2351262000.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1951987000.0,1749153000.0,1882565000.0
,operatingExpenses,0.0,1181000000.0,1309000000.0,1330000000.0,1342000000.0,982000000.0,599000000.0,278000000.0,32900000.0,0.0,17800000.0,11100000.0,11000000.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89500000.0,0.0,30500000.0,12500000.0,12500000.0
,interestExpense,141503000.0,246587000.0,385605000.0,571424000.0,688368000.0,549740000.0,356615000.0,187447000.0,0.0,32030000.0,975324000.0,1424429000.0,1501621000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,54029000.0,59152000.0,54764000.0,46208000.0,29882000.0,21578000.0,10258000.0,1663000.0,240000.0,150000.0,80000.0,70000.0,60000.0
,EBITDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3960000.0,0.0,-11220000.0,-10230000.0,-12040000.0
,EBITDARatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0464788732394366,0.0,-0.584375,-4.44782608695652,-30.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4200000.0,0.0,-11300000.0,-10300000.0,-12100000.0
,operatingIncomeRatio,-0.770472549269226,-0.0471471480638091,-0.215153265842173,-0.314597179528718,-0.352532085285364,-0.00586530948867089,-0.182270512954027,0.0904623383053785,-0.0492957746478873,-0.756092929037159,-0.588541666666667,-4.47826086956522,-30.25
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,-187617000.0,-30891000.0,-128110000.0,-153413000.0,-150197000.0,-2162000.0,-31504000.0,7308000.0,-4200000.0,-11944000.0,-11300000.0,-10300000.0,-12100000.0
,incomeBeforeTaxRatio,-0.770472549269226,-0.0471471480638091,-0.215153265842173,-0.314597179528718,-0.352532085285364,-0.00586530948867089,-0.182270512954027,0.0904623383053785,-0.0492957746478873,-0.756092929037159,-0.588541666666667,-4.47826086956522,-30.25
,incomeTaxExpense,-79000.0,-201000.0,43000.0,632000.0,-4228000.0,2833000.0,1390000.0,0.0,0.0,0.0,0.0,0.0,1050000.0
,netIncome,-187538000.0,-30745000.0,-128308000.0,-153835000.0,-145969000.0,-4995000.0,-32894000.0,7308000.0,-4200000.0,-11944000.0,-11300000.0,-10300000.0,-12100000.0
,netIncomeRatio,-0.770148125941957,-0.0469243167013632,-0.215485795282784,-0.315462556059789,-0.342608413996414,-0.013550980987933,-0.190312539776212,0.0904623383053785,-0.0492957746478873,-0.756092929037159,-0.588541666666667,-4.47826086956522,-30.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-2.63,-0.35,-1.5,-1.9,-1.9,-0.05,-2.2,0.15,-0.05817,-1.030386,-0.15651,-0.14266,-0.16759
,EPSDiluted,-2.63,-0.35,-1.5,-1.9,-1.9,-0.05,-2.2,0.1,-0.05817,-1.030386,-0.15651,-0.14266,-0.16759
,weightedAverageShsOut,77934302.0,87278596.0,84583461.0,81799189.0,77552414.0,74974423.0,15114748.0,58353238.0,72200000.0,11591767.0,72200000.0,72200000.0,72200000.0
,weightedAverageShsOutDil,77934302.0,87278596.0,84583461.0,81799189.0,77552414.0,74974423.0,15114748.0,64666310.0,72200000.0,11591767.0,72200000.0,72200000.0,72200000.0
