date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY
,revenue,73813000.0,111805000.0,29868000.0,64826000.0,41617000.0,13509000.0,539000.0,1600000.0,6022000.0,4524000.0,2105000.0,1444000.0,1170000.0,1923000.0,200000.0
,costOfRevenue,902000.0,865000.0,512000.0,1078000.0,1412000.0,1041000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,72911000.0,110940000.0,29356000.0,63748000.0,40205000.0,12468000.0,0.0,0.0,0.0,4524000.0,2105000.0,1444000.0,1170000.0,1923000.0,0.0
,grossProfitRatio,0.98777993036457,0.992263315594115,0.982857908129101,0.98337086971277,0.966071557296297,0.922940262047524,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,110817000.0,109696000.0,89860000.0,55599000.0,50699000.0,48379000.0,47946000.0,36297000.0,31922000.0,23718000.0,23465000.0,16929000.0,17850000.0,15922000.0,20528000.0
,GeneralAndAdministrativeExpenses,72695000.0,64626000.0,51718000.0,52044000.0,43782000.0,35327000.0,22601000.0,15819000.0,10985000.0,8216000.0,8746000.0,5273000.0,7845000.0,10398000.0,3625000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,654000.0,1553000.0,1781000.0,1444000.0,945000.0,1030000.0,-207000.0,574000.0,130000.0,0.0,0.0,0.0,372000.0,-125000.0,179000.0
,operatingExpenses,183512000.0,174322000.0,141578000.0,107643000.0,94481000.0,83706000.0,70547000.0,52116000.0,42907000.0,31934000.0,32211000.0,22202000.0,0.0,0.0,0.0
,costAndExpenses,184414000.0,175187000.0,142090000.0,108721000.0,95893000.0,84747000.0,70547000.0,52116000.0,42907000.0,31934000.0,32211000.0,22202000.0,25695000.0,26320000.0,24153000.0
