date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY
,revenue,333662000.0,378687000.0,383201000.0,401806000.0,317489000.0
,costOfRevenue,168299000.0,84050000.0,81203000.0,81305000.0,67409000.0
,grossProfit,165363000.0,294637000.0,301998000.0,320501000.0,250080000.0
,grossProfitRatio,0.495600338066666,0.77804888998038,0.788092932951636,0.797651105259752,0.787680833036735
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,18960000.0,19401000.0,19754000.0,15719000.0,13206000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,18960000.0,96143000.0,88094000.0,74523000.0,59720759.0
,costAndExpenses,187259000.0,330550000.0,184841000.0,184072000.0,150905000.0
,interestExpense,42492000.0,-81682000.0,-69345000.0,-68623000.0,-65807000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,83058000.0,89309000.0,87584000.0,87048000.0,70290000.0
,EBITDA,229461000.0,137446000.0,285944000.0,304782000.0,236874000.0
,EBITDARatio,0.687704922945975,0.362954101936428,0.746198470254514,0.75853023598453,0.746085691157804
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,146403000.0,48137000.0,198360000.0,217734000.0,166584000.0
,operatingIncomeRatio,0.438776366502628,0.127115533408857,0.517639567746431,0.541888373991429,0.524692194060267
,totalOtherIncomeExpensesNet,89544000.0,82906000.0,70314000.0,69636000.0,66875000.0
,incomeBeforeTax,56859000.0,-34769000.0,128046000.0,148098000.0,99709000.0
,incomeBeforeTaxRatio,0.170408976748926,-0.0918146120674858,0.334148397316291,0.368580857428709,0.314054975132997
,incomeTaxExpense,0.0,0.0,0.0,0.0,0.0
,netIncome,56859000.0,-34769000.0,128046000.0,148098000.0,99709000.0
,netIncomeRatio,0.170408976748926,-0.0918146120674858,0.334148397316291,0.368580857428709,0.314054975132997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.55,-0.73588,2.92198,3.14391,2.98305
,EPSDiluted,0.52,-0.73588,2.92198,3.14391,2.98305
,weightedAverageShsOut,47042494.0,47248130.0,43821690.0,47106320.0,33425240.0
,weightedAverageShsOutDil,49942308.0,47248130.0,43821690.0,47106320.0,33425240.0
