date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,revenue,943276000.0,746534000.0,885840000.0,684615000.0,613373000.0,551863000.0,518750000.0,411386000.0,385871000.0,268024000.0
,costOfRevenue,560803000.0,488439000.0,513863000.0,401384000.0,360893000.0,311224000.0,377219000.0,264944000.0,274941000.0,200368000.0
,grossProfit,382473000.0,258095000.0,371977000.0,283231000.0,252480000.0,240639000.0,141531000.0,146442000.0,110930000.0,67656000.0
,grossProfitRatio,0.405473053485936,0.345724374241495,0.419914431500045,0.41370843466766,0.411625552477856,0.436048439558369,0.272830843373494,0.355972249906414,0.287479494442443,0.252425155956183
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,93437000.0,112524000.0,116274000.0,92862000.0,73865000.0,78566000.0,73994000.0,59155000.0,54574000.0,54793000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,4404000.0,32962000.0,4509000.0,177728000.0,509000.0,2085000.0,736000.0,-771000.0,333000.0,245000.0
,operatingExpenses,116764000.0,143552000.0,145196000.0,118949000.0,91391000.0,103136000.0,93787000.0,0.0,0.0,0.0
,costAndExpenses,677567000.0,631991000.0,659059000.0,520333000.0,452284000.0,414360000.0,471006000.0,341277000.0,347826000.0,278894000.0
,interestExpense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,4708000.0,4965000.0,4625000.0,3544000.0,3183000.0,2635000.0,2268000.0,2296000.0,2507000.0,2085000.0
,EBITDA,270417000.0,119508000.0,231406000.0,167826000.0,164272000.0,140138000.0,50012000.0,72405000.0,40552000.0,-8785000.0
,EBITDARatio,0.286678554314962,0.160083800603857,0.261227761220988,0.245139238842269,0.267817461805459,0.253936212429534,0.0964086746987952,0.176002586378729,0.105092116277201,-0.0327769155001045
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,265709000.0,114543000.0,226781000.0,164282000.0,161089000.0,137503000.0,47744000.0,70109000.0,38045000.0,-10870000.0
,operatingIncomeRatio,0.28168743824713,0.153433065339288,0.256006728077305,0.239962606720566,0.26262812350723,0.24916147667084,0.0920366265060241,0.170421453330935,0.0985951263505161,-0.040556069605707
,totalOtherIncomeExpensesNet,4404000.0,32962000.0,11671000.0,186069000.0,5585000.0,6561000.0,-1449000.0,2910000.0,-325000.0,5982000.0
,incomeBeforeTax,270113000.0,147505000.0,238452000.0,350351000.0,166674000.0,144064000.0,46295000.0,73019000.0,37720000.0,-4888000.0
,incomeBeforeTaxRatio,0.286356273243462,0.197586446163202,0.269181793551883,0.511748939184797,0.271733512886938,0.261050296903398,0.0892433734939759,0.177495101923741,0.0977528759611373,-0.0182371727904964
