date,,2020-12-31_FY,2019-12-31_FY
,revenue,7022000000.0,9066000000.0
,costOfRevenue,4396000000.0,5416000000.0
,grossProfit,2626000000.0,3650000000.0
,grossProfitRatio,0.373967530618058,0.402603132583278
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,311000000.0,373000000.0
,GeneralAndAdministrativeExpenses,1851000000.0,2085000000.0
,SellingAndMarketingExpenses,0.0,0.0
,otherExpenses,45000000.0,-26000000.0
,operatingExpenses,2162000000.0,2503000000.0
,costAndExpenses,6770000000.0,7919000000.0
,interestExpense,0.0,105000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,368000000.0,45000000.0
,EBITDA,560000000.0,1192000000.0
,EBITDARatio,0.0797493591569353,0.131480255901169
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,192000000.0,1147000000.0
,operatingIncomeRatio,0.027342637425235,0.126516655636444
,totalOtherIncomeExpensesNet,0.0,-236000000.0
,incomeBeforeTax,252000000.0,822000000.0
,incomeBeforeTaxRatio,0.0358872116206209,0.0906684315023163
,incomeTaxExpense,64000000.0,179000000.0
,netIncome,192000000.0,1353000000.0
,netIncomeRatio,0.027342637425235,0.149238914626075
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.909224365318773,6.03
,EPSDiluted,0.902650124349457,5.8
,weightedAverageShsOut,211169000.0,221969000.0
,weightedAverageShsOutDil,212707000.0,233169000.0
