date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-25_FY,2015-12-27_FY,2014-12-28_FY,2013-12-29_FY,2012-12-30_FY,2011-12-31_FY,2011-12-25_FY,2010-12-31_FY,2010-12-30_FY,2009-12-31_FY,2008-12-31_FY,2008-01-31_FY,2007-12-30_FY,2006-12-31_FY,2005-12-31_FY,2005-12-25_FY,2004-12-31_FY,2004-12-26_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,1100760000.0,1372487000.0,1501827000.0,1108055000.0,732677000.0,727946000.0,745447000.0,789600000.0,821500000.0,822172000.0,822172000.0,719500000.0,39456000.0,418846000.0,754894000.0,145707000.0,956900000.0,789862000.0,844884000.0,844884000.0,901755000.0,901755000000.0,840349000.0,782599000.0,643395000.0,644899000.0,571800000.0,539400000.0,549100000.0,504200000.0,522000000.0,456600000.0,393000000.0,325300000.0,273500000.0,267600000.0,246100000.0,200200000.0,169500000.0,148600000.0,130800000.0
,costOfRevenue,1035134000.0,1256425000.0,1338300000.0,1005158000.0,645015000.0,650717000.0,686796000.0,725500000.0,760800000.0,755112000.0,755112000.0,630263000.0,43347000.0,429015000.0,748317000.0,130769000.0,924400000.0,781122000.0,808649000.0,808649000.0,819639000.0,819639000000.0,716558000.0,642289000.0,538040000.0,475758000.0,417800000.0,412600000.0,414000000.0,375200000.0,380500000.0,318700000.0,279900000.0,241800000.0,215800000.0,211600000.0,196100000.0,157600000.0,136500000.0,120900000.0,106600000.0
,grossProfit,65626000.0,116062000.0,163527000.0,102897000.0,87662000.0,77229000.0,58651000.0,64100000.0,60600000.0,67060000.0,67060000.0,89237000.0,-3891000.0,-10169000.0,6577000.0,14938000.0,32500000.0,8740000.0,36235000.0,36235000.0,82116000.0,82116000000.0,123791000.0,140310000.0,105355000.0,169141000.0,154000000.0,126800000.0,135100000.0,129000000.0,141500000.0,137900000.0,113100000.0,83500000.0,57700000.0,56000000.0,50000000.0,42600000.0,33000000.0,27700000.0,24200000.0
,grossProfitRatio,0.059618808822995,0.0845632781949847,0.108885377610071,0.0928627189083574,0.119646174235031,0.106091660645158,0.0786789671163745,0.0811803444782168,0.0737674984783932,0.0815644415037243,0.0815644415037243,0.124026407227241,-0.0986161800486618,-0.024278613141823,0.00871248148746711,0.102520812315126,0.0339638415717421,0.0110652240517964,0.0428875443256116,0.0428875443256116,0.0910624282648835,0.0910624282648835,0.147309034698679,0.179287221169462,0.16374855259988,0.262275177973605,0.269324938789787,0.235076010381906,0.246038972864688,0.255850852836176,0.271072796934866,0.302014892685063,0.287786259541985,0.256686135874577,0.210968921389397,0.209267563527653,0.203169443315725,0.212787212787213,0.194690265486726,0.186406460296097,0.185015290519878
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,52420000.0,0.0,0.0,0.0,31602000.0,34923000.0,32309000.0,29500000.0,27700000.0,0.0,25888000.0,0.0,1145000.0,0.0,0.0,0.0,29200000.0,0.0,0.0,21019000.0,0.0,0.0,0.0,0.0,29249000.0,20716000.0,20300000.0,19800000.0,20000000.0,19900000.0,20000000.0,19200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-2827000.0,4815000.0,-6936000.0,13188000.0,-126000.0,-1114000.0,-3306000.0,557000.0,357000.0,0.0,990000.0,0.0,-1089000.0,0.0,0.0,812000.0,0.0,0.0,0.0,-588000.0,0.0,-1614000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
