date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-250036000.0,-146004000.0,-162031000.0,-171995000.0,-124505000.0,-107613000.0,-84538000.0,-111289000.0,-32714000.0,23615000.0,-113379000.0,-142266000.0
,depreciationAndAmortization,14166000.0,118817000.0,133617000.0,145490000.0,105642000.0,87036000.0,64451000.0,55509000.0,36907000.0,32673000.0,30991000.0,21898000.0
,deferredIncomeTax,-232000.0,178000.0,-3821000.0,-2281000.0,839000.0,827000.0,828000.0,821000.0,803000.0,936000.0,3210000.0,0.0
,stockBasedCompensation,7808000.0,16511000.0,16912000.0,19821000.0,17621000.0,15299000.0,9816000.0,5621000.0,3545000.0,1795000.0,1614000.0,320000.0
,changeInWorkingCapital,10395000.0,-113656000.0,9220000.0,-77048000.0,83238000.0,127021000.0,-68592000.0,26933000.0,23732000.0,8497000.0,-1323000.0,20908000.0
,accountsReceivables,1315000.0,29898000.0,-17064000.0,-43798000.0,-4265000.0,-21563000.0,-23035000.0,-1015000.0,-3288000.0,-6258000.0,-9274000.0,411000.0
,inventory,7091000.0,29092000.0,-50762000.0,4723000.0,-29329000.0,976000.0,-8267000.0,-1497000.0,-3026000.0,-3274000.0,1069000.0,-1821000.0
,accountsPayables,4963000.0,-4111000.0,-3864000.0,3402000.0,-3118000.0,-4307000.0,8336000.0,2281000.0,2561000.0,1433000.0,-5906000.0,3359000.0
,otherWorkingCapital,1485000.0,172183000.0,285839000.0,276619000.0,353667000.0,270429000.0,143408000.0,212000000.0,19182000.0,12397000.0,10692000.0,-691000.0
,otherNonCashItems,19800000.0,19971000.0,984000.0,22029000.0,20507000.0,16724000.0,3173000.0,2832000.0,804000.0,-35125000.0,-80160000.0,-142266000.0
,netCashProvidedByOperatingActivites,-132687000.0,64061000.0,-82311000.0,60256000.0,64988000.0,104856000.0,28972000.0,17790000.0,30052000.0,9931000.0,-42293000.0,-88556000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1818000.0,-100123000.0,-108632000.0,-252375000.0,-148294000.0,-135201000.0,-132098000.0,-105228000.0,-67449000.0,-33200000.0,-32502000.0,-68832000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9000000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,-39323000.0,-317418000.0,-363436000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,39323000.0,212792000.0,443103000.0,244450000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,2446000.0,0.0,-2336000.0,224000.0,-192000.0,-2500000.0,-4565000.0,-257000.0,1702000.0,2127000.0,1550000.0
,netCashUsedForInvestingActivites,348403000.0,-73709000.0,41806000.0,-156881000.0,-295559000.0,-153265000.0,-152031000.0,-135052000.0,-78853000.0,-41376000.0,-37674000.0,-74687000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-29044000.0,-901575000.0,-202778000.0,-2961000.0,-312744000.0,-10744000.0,-8570000.0,-6326000.0,-2339000.0,-810000.0,-45000.0,-36493000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,-22976000.0,-8054000.0,-3630000.0,-11474000.0,-12608000.0,-1500000.0,-10833000.0,-13885000.0,57000.0,-57000.0,0.0
,netCashUsedProvidedByFinancingActivities,44425000.0,-3543000.0,27314000.0,174936000.0,201053000.0,203221000.0,67995000.0,271056000.0,118776000.0,55153000.0,30398000.0,207623000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-1946000.0,-250000.0,578000.0,743000.0,-522000.0,785000.0,-42000.0,-28000.0,10000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,258195000.0,-13441000.0,-12613000.0,79054000.0,-30040000.0,155597000.0,-55106000.0,153766000.0,69985000.0,23708000.0,-49569000.0,44380000.0
,cashAtEndOfPeriod,435870000.0,177675000.0,191116000.0,196356000.0,117302000.0,366833000.0,211236000.0,266342000.0,112576000.0,42591000.0,18883000.0,68452000.0
,cashAtBeginningOfPeriod,177675000.0,191116000.0,203729000.0,117302000.0,147342000.0,211236000.0,266342000.0,112576000.0,42591000.0,18883000.0,68452000.0,24072000.0
,operatingCashFlow,-132687000.0,64061000.0,-82311000.0,60256000.0,64988000.0,104856000.0,28972000.0,17790000.0,30052000.0,9931000.0,-42293000.0,-88556000.0
,capitalExpenditure,-8990000.0,-115478000.0,-131663000.0,-280230000.0,-176881000.0,-153148000.0,-149563000.0,-121369000.0,-79456000.0,-43078000.0,-39823000.0,-77296000.0
,freeCashFlow,-141677000.0,-51417000.0,-213974000.0,-219974000.0,-111893000.0,-48292000.0,-120591000.0,-103579000.0,-49404000.0,-33147000.0,-82116000.0,-165852000.0
