date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,910911000.0,994370000.0,915926000.0,1187606000.0,766466000.0,827293000.0,766349000.0
,depreciationAndAmortization,2209000000.0,1988552000.0,1668467000.0,1403653000.0,1094774000.0,833071000.0,824997000.0
,deferredIncomeTax,309058000.0,324166000.0,267486000.0,-355789000.0,379753000.0,415660000.0,674094000.0
,stockBasedCompensation,7147000.0,8577000.0,7656000.0,18494000.0,9537000.0,20567000.0,125888000.0
,changeInWorkingCapital,-524211000.0,-362308000.0,-281797000.0,200116000.0,-336049000.0,-648730000.0,-224389000.0
,accountsReceivables,-138806000.0,-3096000.0,33147000.0,7729000.0,10673000.0,-101676000.0,-68964000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-16994000.0,-3184000.0,9927000.0,2767000.0,9559000.0,4204000.0,-960000.0
,otherWorkingCapital,-19882000.0,-2420768000.0,-2058460000.0,-1776663000.0,-1976779000.0,-1640730000.0,-992000000.0
,otherNonCashItems,-1661648000.0,127984000.0,1290834000.0,-525460000.0,-113533000.0,-810217000.0,116078000.0
,netCashProvidedByOperatingActivites,4012489000.0,5533233000.0,6244869000.0,3766605000.0,4473117000.0,3898765000.0,3898474000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-6884130000.0,-8589783000.0,-9829751000.0,-6024331000.0,-5619929000.0,-5168279000.0,-4502177000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-85098000.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,7363000.0,6000000.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,423108000.0,741966000.0,1095417000.0,1190382000.0,677329000.0,503857000.0,-14986530000.0
,netCashUsedForInvestingActivites,-4767646000.0,-9272431000.0,-10415788000.0,-3208312000.0,-5267814000.0,-7721101000.0,-8339145000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-45979862000.0,-42107268000.0,-41845857000.0,-41564001000.0,-42576106000.0,-45058515000.0,-38072005000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-776942000.0,-337967000.0,-182560000.0,0.0,0.0,-267000.0,-6960000.0
,dividendsPaid,-212637000.0,-291459000.0,-180306000.0,-10803000.0,0.0,0.0,-52316000.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,16830000.0,-3956000.0
,netCashUsedProvidedByFinancingActivities,924217000.0,3649801000.0,3339696000.0,-190668000.0,935984000.0,3808072000.0,4463297000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,169060000.0,-89397000.0,-831223000.0,367625000.0,141287000.0,-14264000.0,22626000.0
,cashAtEndOfPeriod,2330147000.0,2161087000.0,2250484000.0,527805000.0,160180000.0,18893000.0,33157000.0
,cashAtBeginningOfPeriod,2161087000.0,2250484000.0,3081707000.0,160180000.0,18893000.0,33157000.0,10531000.0
,operatingCashFlow,4012489000.0,5533233000.0,6244869000.0,3766605000.0,4473117000.0,3898765000.0,3898474000.0
,capitalExpenditure,-6884130000.0,-8589783000.0,-9829751000.0,-6024331000.0,-5619929000.0,-5168279000.0,-4502177000.0
,freeCashFlow,-2871641000.0,-3056550000.0,-3584882000.0,-2257726000.0,-1146812000.0,-1269514000.0,-603703000.0
