Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Revenue,2137006000.0,1542081000.0,420570000.0,366157000.0,981837000.0
Revenue Growth,0.385793612657182,2.66664526713746,0.148605652766436,-0.627069462650114,
Cost of Revenue,1660546000.0,1282561000.0,416342000.0,306596000.0,448055000.0
Gross Profit,476460000.0,259520000.0,4228000.0,59561000.0,533782000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0
SG&A Expense,114258000.0,93526000.0,53155000.0,26081000.0,485977000.0
Operating Expenses,378450000.0,250251000.0,153932000.0,99272000.0,577054000.0
Operating Income,98010000.0,9269000.0,-149704000.0,-39711000.0,-43272000.0
Interest Expense,33504000.0,59223000.0,38299000.0,23450000.0,5987000.0
Earnings before Tax,63601000.0,-28073000.0,-187087000.0,-64642000.0,-49259000.0
Income Tax Expense,4270000.0,150000.0,0.0,0.0,0.0
Net Income - Non-Controlling int,0.0,-7918000.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0
Net Income,59331000.0,-28223000.0,-187087000.0,-64642000.0,-49259000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0
Net Income Com,59331000.0,-28223000.0,-187087000.0,-64642000.0,-49259000.0
EPS,0.54,-0.34,-2.14,-0.74,-0.52
EPS Diluted,0.54,-0.34,-2.14,-0.74,-0.52
Weighted Average Shs Out,105669227.0,111831176.0,103128019.0,103000000.0,
Weighted Average Shs Out (Dil),109335000.0,106321000.0,87313000.0,87313000.0,
Dividend per Share,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.223,0.1683,0.0101,0.1627,0.5437
EBITDA Margin,0.167,0.123,-0.114,0.077,0.05
EBIT Margin,0.0454,0.0202,-0.3538,-0.1125,-0.0441
Profit Margin,0.028,-0.018,-0.445,-0.177,-0.05
Free Cash Flow margin,0.0329,-0.0405,-0.1846,0.0309,-0.0926
EBITDA,356250000.0,190430000.0,-47809000.0,28355000.0,49122000.0
EBIT,97105000.0,31150000.0,-148788000.0,-41192000.0,-43272000.0
Consolidated Income,59331000.0,-36141000.0,-187087000.0,-64642000.0,-49259000.0
Earnings Before Tax Margin,0.0298,-0.0182,-0.4448,-0.1765,-0.0502
Net Profit Margin,0.0278,-0.0183,-0.4448,-0.1765,-0.0502
