Date,2018-12-31,2017-12-31
Depreciation & Amortization,539000.0,434000.0
Stock-based compensation,997000.0,289000.0
Operating Cash Flow,76337000.0,-15415000.0
Capital Expenditure,-656000.0,-907000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-656000.0,-907000.0
Issuance (repayment) of debt,-652000.0,-333000.0
Issuance (buybacks) of shares,0.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,89470000.0,20261000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,165151000.0,3939000.0
Free Cash Flow,75681000.0,-16322000.0
Net Cash/Marketcap,0.362,0.362
