date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2012-03-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,revenue,2912000000.0,3343000000.0,3328000000.0,3168000000.0,2850000000.0,2737000000.0,2523000000.0,2498000000.0,2546000000.0,0.0,2445000000.0,2435000000.0,2617000000.0,2708000000.0,2888000000.0,2838000000.0,2898000000.0,2667000000.0,2813000000.0,3032000000.0,2905670000.0,2484741000.0,2264000000.0,2064400000.0,1970800000.0,1919300000.0,1798600000.0,1696700000.0,1596000000.0,1486000000.0,777100000.0,650700000.0,581300000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,1448000000.0,1424000000.0,1431000000.0,1455000000.0,1470000000.0,1477000000.0,1230000000.0,1251000000.0,1253000000.0,0.0,1267000000.0,1212000000.0,1219000000.0,1167000000.0,1037000000.0,1007000000.0,1004000000.0,919000000.0,897000000.0,844000000.0,809483000.0,668037000.0,640400000.0,565300000.0,538900000.0,560800000.0,562200000.0,548600000.0,528700000.0,503100000.0,265100000.0,232300000.0,205600000.0
,SellingAndMarketingExpenses,35000000.0,34000000.0,30000000.0,28000000.0,21000000.0,24000000.0,23000000.0,21000000.0,27000000.0,0.0,28000000.0,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,2503000000.0,2285000000.0,2007000000.0,2010000000.0,2197000000.0,2069000000.0,1737000000.0,1880000000.0,1936000000.0,1936000000.0,1996000000.0,2327000000.0,3270000000.0,3673000000.0,3630000000.0,3150000000.0,2336000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,182000000.0,468000000.0,267000000.0,121000000.0,112000000.0,95000000.0,95000000.0,112000000.0,135000000.0,0.0,156000000.0,207000000.0,538000000.0,1236000000.0,1727000000.0,1439000000.0,770000000.0,427000000.0,486000000.0,665000000.0,1291209000.0,1602785000.0,1125600000.0,1155500000.0,1204600000.0,1150500000.0,1314000000.0,861800000.0,649400000.0,783900000.0,624400000.0,673700000.0,669100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,108000000.0,114000000.0,120000000.0,121000000.0,121000000.0,118000000.0,123000000.0,122000000.0,133000000.0,0.0,122000000.0,124000000.0,122000000.0,114000000.0,93000000.0,82000000.0,126000000.0,129000000.0,99000000.0,61000000.0,97845000.0,90872000.0,90800000.0,88000000.0,86900000.0,97600000.0,93000000.0,89500000.0,54500000.0,51300000.0,27600000.0,29700000.0,19000000.0
,EBITDA,950000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
