Date,2018-12-31,2017-12-31
Depreciation & Amortization,956000.0,368000.0
Stock-based compensation,3181000.0,2110000.0
Operating Cash Flow,4627000.0,-428000.0
Capital Expenditure,-1690000.0,-889000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-1635000.0,-839000.0
Issuance (repayment) of debt,-667000.0,-668000.0
Issuance (buybacks) of shares,163000.0,395000.0
Dividend payments,0.0,0.0
Financing Cash Flow,-634000.0,-273000.0
Effect of forex changes on cash,-380000.0,-4000.0
Net cash flow / Change in cash,1978000.0,-1544000.0
Free Cash Flow,2937000.0,-1317000.0
Net Cash/Marketcap,,
