Date,2018-12-29,2018-12,2017-12-30,2017-12,2016-12-31,2016-12,2016-01-02,2015-12,2014-12-27,2014-12,2013-12-28,2012-12-29,2011-12-31,2011-01-01,2010-01-02
Revenue,508045000.0,508000000.0,342839000.0,343000000.0,196934000.0,197000000.0,200727000.0,201000000.0,227673000.0,228000000.0,205267000.0,204367000.0,204171000.0,150695000.0,97393000.0
Revenue Growth,0.0000885826771653543,0.481745075676921,-0.000469387755102041,0.741700265063422,-0.00033502538071066,-0.0185675071116492,-0.00135820895522388,-0.117154866848506,-0.00143421052631579,0.110748439836895,0.00440384210758097,0.000959979624922247,0.354862470553104,0.54728779275718,-0.4537
Cost of Revenue,315362000.0,315000000.0,206314000.0,206000000.0,125585000.0,126000000.0,123634000.0,124000000.0,133781000.0,134000000.0,122306000.0,123795000.0,124956000.0,98352000.0,75436000.0
Gross Profit,192683000.0,193000000.0,136525000.0,137000000.0,71349000.0,71000000.0,77093000.0,77000000.0,93892000.0,94000000.0,82961000.0,80572000.0,79215000.0,52343000.0,21957000.0
R&D Expenses,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
SG&A Expense,93867000.0,94000000.0,65580000.0,66000000.0,35345000.0,37000000.0,29817000.0,30000000.0,29821000.0,30000000.0,26790000.0,26163000.0,23946000.0,21304000.0,19814000.0
Operating Expenses,117372000.0,117000000.0,75776000.0,74000000.0,37633000.0,37000000.0,30389000.0,30000000.0,30506000.0,30000000.0,26783000.0,26203000.0,22565000.0,21247000.0,20237000.0
Operating Income,75311000.0,76000000.0,60749000.0,63000000.0,33716000.0,34000000.0,46704000.0,47000000.0,63386000.0,64000000.0,56178000.0,54369000.0,56650000.0,31096000.0,1720000.0
Interest Expense,13876000.0,,3781000.0,,-790000.0,,-1422000.0,,-1592000.0,,-967000.0,-1368000.0,-775000.0,-653000.0,-562000.0
Earnings before Tax,56395000.0,56000000.0,47544000.0,48000000.0,34901000.0,35000000.0,49230000.0,49000000.0,65742000.0,66000000.0,57172000.0,55853000.0,57586000.0,31643000.0,2017000.0
Income Tax Expense,9665000.0,10000000.0,15986000.0,16000000.0,11597000.0,12000000.0,16092000.0,16000000.0,21967000.0,22000000.0,19188000.0,18455000.0,19909000.0,10243000.0,161000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Net Income,46730000.0,47000000.0,31558000.0,32000000.0,23304000.0,23000000.0,33138000.0,33000000.0,43775000.0,44000000.0,37984000.0,37398000.0,37677000.0,21400000.0,1856000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Net Income Com,46730000.0,47000000.0,31558000.0,32000000.0,23304000.0,23000000.0,33138000.0,33000000.0,43775000.0,44000000.0,37984000.0,37398000.0,37677000.0,21400000.0,1856000.0
EPS,1.49,1.49,1.17,1.17,0.87,0.87,1.24,1.24,1.65,1.65,1.45,1.44,1.47,0.84,0.07
EPS Diluted,1.49,1.49,1.17,1.17,0.87,0.87,1.24,1.24,1.65,1.65,1.45,1.44,1.47,0.84,0.07
Weighted Average Shs Out,31309000.0,31000000.0,27031000.0,27000000.0,26892000.0,27000000.0,26687000.0,27000000.0,26456000.0,26000000.0,26206000.0,25944000.0,25642000.0,25428000.0,25256000.0
Weighted Average Shs Out (Dil),31309000.0,31000000.0,27031000.0,27000000.0,26892000.0,27000000.0,26687000.0,27000000.0,26456000.0,26000000.0,26206000.0,25971000.0,25684000.0,25478000.0,25305000.0
Dividend per Share,0.36,,0.29,,0.4,,0.54,,1.36,,0.45,1.48,0.373,0.573,0.36
Gross Margin,0.3793,0.37992125984252,0.3982,0.39941690962099,0.3623,0.36040609137056,0.3841,0.38308457711443,0.4124,0.41228070175439,0.4042,0.3943,0.388,0.3473,0.2254
EBITDA Margin,0.216,0.22637795275591,0.206,0.23906705539359,0.231,0.23350253807107,0.286,0.27860696517413,0.32,0.32017543859649,0.309,0.302,0.311,0.251,0.086
EBIT Margin,0.1383,0.11220472440945,0.1497,0.1399416909621,0.1732,0.17766497461929,0.2382,0.24378109452736,0.2818,0.28947368421053,0.2738,0.2666,0.2783,0.2056,0.0149
Profit Margin,0.092,0.09251968503937,0.092,0.093294460641399,0.118,0.11675126903553,0.165,0.16417910447761,0.192,0.19298245614035,0.185,0.183,0.185,0.142,0.019
Free Cash Flow margin,0.0967,,0.0794,,0.1641,,0.2264,,0.2293,,0.1433,0.1903,0.1932,0.1421,0.088
