Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,17660000.0,99143000.0,121231000.0,435588000.0,181253000.0,814663000.0,309766000.0,207681000.0,5863000.0
Short-term investments,5286000.0,1310000.0,0.0,84349000.0,291414000.0,12779000.0,71022000.0,4066000.0,5028000.0
Cash and short-term investments,22946000.0,100453000.0,121231000.0,519937000.0,472667000.0,827442000.0,380788000.0,211747000.0,10891000.0
Receivables,45503000.0,71277000.0,74097000.0,127387000.0,330077000.0,349218000.0,445506000.0,206336000.0,146118000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,3618000.0,6903000.0,3945000.0
Total current assets,73327000.0,195097000.0,257176000.0,674088000.0,831918000.0,1241823000.0,1142885000.0,441840000.0,175590000.0
Property Plant & Equipment Net,200838000.0,225981000.0,255824000.0,491760000.0,576463000.0,566222000.0,582375000.0,522269000.0,509724000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235396000.0,234356000.0
Long-term investments,0.0,0.0,0.0,0.0,47003000.0,14126000.0,23617000.0,26415000.0,0.0
Tax assets,0.0,0.0,0.0,0.0,95843000.0,0.0,0.0,7000000.0,0.0
Total non-current assets,951011000.0,924530000.0,824216000.0,2317067000.0,6427307000.0,6442972000.0,8647846000.0,5777769000.0,5055858000.0
Total assets,1024338000.0,1119627000.0,1081392000.0,2991155000.0,7259225000.0,7684795000.0,9790731000.0,6219609000.0,5231448000.0
Payables,111797000.0,139155000.0,116517000.0,428417000.0,683392000.0,812488000.0,766544000.0,506784000.0,376922000.0
Short-term debt,0.0,8115000.0,3497000.0,0.0,5216000.0,0.0,0.0,1051000.0,7293000.0
Total current liabilities,137190000.0,198914000.0,213706000.0,437389000.0,784451000.0,933818000.0,1170454000.0,699496000.0,544458000.0
Long-term debt,0.0,37502000.0,305308000.0,3631506000.0,3195436000.0,3194907000.0,4301083000.0,2813125000.0,2901793000.0
Total debt,0.0,45617000.0,308805000.0,3631506000.0,3200652000.0,3194907000.0,4301083000.0,2814176000.0,2909086000.0
Deferred revenue,2031000.0,3830000.0,844000.0,2295000.0,33195000.0,184203000.0,68742000.0,0.0,0.0
Tax Liabilities,0.0,48000.0,100000.0,81000.0,77000.0,1382000.0,1300000.0,1800000.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,255000000.0,0.0,0.0
Total non-current liabilities,118227000.0,212195000.0,587394000.0,3646320000.0,3306395000.0,3699319000.0,4875703000.0,3060077000.0,2920817000.0
Total liabilities,176617000.0,279687000.0,568475000.0,4689072000.0,5321400000.0,5858985000.0,7421878000.0,4593598000.0,3695253000.0
Other comprehensive income,1143680000,1126824000,846879000,5294150000,5194550000,5285789000,5219425000,4562706000,4525373000
Retained earnings (deficit),-295995000.0,-286920000.0,-333982000.0,-6992697000.0,-3257202000.0,-3460462000.0,-2851048000.0,-2937094000.0,-2989576000.0
Total shareholders equity,847721000.0,839940000.0,512917000.0,-1697917000.0,1937825000.0,1825810000.0,2368853000.0,1626011000.0,1536195000.0
Investments,5286000.0,1310000.0,0.0,84349000.0,338417000.0,26905000.0,94639000.0,30481000.0,5028000.0
Net Debt,-17660000.0,-53526000.0,187574000.0,3195918000.0,3019399000.0,2380244000.0,3991317000.0,2606495000.0,2903223000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.0,0.0,0.0,605363000.0,1230554000.0,1225848000.0,1375721000.0,834025000.0,229978000.0
