date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,17242000.0,48492000.0,6067000.0
,depreciationAndAmortization,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0
,changeInWorkingCapital,-1395000.0,2624000.0,-97000.0
,accountsReceivables,0.0,0.0,0.0
,inventory,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0
,otherNonCashItems,53881000.0,-47613000.0,-25464000.0
,netCashProvidedByOperatingActivites,69728000.0,3503000.0,-19494000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0
,netCashUsedForInvestingActivites,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-69963000.0,-11901000.0,-39688000.0
,commonStockIssued,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,-19805000.0
,dividendsPaid,-19536000.0,-21691000.0,-21765000.0
,otherFinancingActivites,19770000.0,30090000.0,100207000.0
,netCashUsedProvidedByFinancingActivities,-69729000.0,-3502000.0,18949000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-69729000.0,-3502000.0,18949000.0
,cashAtEndOfPeriod,0.0,1000.0,0.0
,cashAtBeginningOfPeriod,1000.0,0.0,545000.0
,operatingCashFlow,69728000.0,3503000.0,-19494000.0
,capitalExpenditure,0.0,0.0,0.0
,freeCashFlow,69728000.0,3503000.0,-19494000.0
