Date,2017-12-31,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12,2012-12
Depreciation & Amortization,0.0,0.0,,0.0,,,,
Stock-based compensation,0.0,0.0,,0.0,,,,
Operating Cash Flow,-283824.0,-207165.0,-0000000.0,-368800.0,-0000000.0,000000.0,000000.0,000000.0
Capital Expenditure,0.0,0.0,,0.0,,,,
Acquisitions and disposals,-0.0,-0.0,,-0.0,,,,
Investment purchases and sales,-29679258.0,0.0,0,0.0,0,0,0,0
Investing Cash flow,29263448.0,-200000.0,-0000000.0,-43642769.0,-44000000.0,000000.0,000000.0,000000.0
Issuance (repayment) of debt,-0.0,-0.0,,-120000.0,,,,
Issuance (buybacks) of shares,-29679258.0,-22271.0,,-199436.0,,,,
Dividend payments,-0.0,-0.0,,-0.0,,,,
Financing Cash Flow,-28999075.0,230000.0,0000000.0,44147068.0,44000000.0,000000.0,000000.0,000000.0
Effect of forex changes on cash,0.0,0.0,,0.0,,,,
Net cash flow / Change in cash,-19451.0,-177165.0,-0000000.0,135499.0,0000000.0,000000.0,000000.0,000000.0
Free Cash Flow,-283824.0,-207165.0,-0000000.0,-368800.0,-0000000.0,000000.0,000000.0,000000.0
Net Cash/Marketcap,0.0,0.0,,0.0,,,,
