date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-304862000.0,129181000.0,190126000.0,75331000.0,200352000.0,218221000.0,135441000.0,112921000.0,40894000.0,11407000.0,-22403000.0,-167998000.0,-29321000.0
,depreciationAndAmortization,194168000.0,209529000.0,238560000.0,184895000.0,162500000.0,156226000.0,144294000.0,127430000.0,126798000.0,131714000.0,100793000.0,98884000.0,84390000.0
,deferredIncomeTax,51447000.0,-6818000.0,8384000.0,40140000.0,6994000.0,-40554000.0,-642000.0,-839000.0,-87000.0,0.0,0.0,0.0,-1123000.0
,stockBasedCompensation,12396000.0,11459000.0,12251000.0,10607000.0,5990000.0,13002000.0,15088000.0,13078000.0,8626000.0,3284000.0,0.0,0.0,0.0
,changeInWorkingCapital,-2667281000.0,547840000.0,-253973000.0,52885000.0,356455000.0,-344714000.0,117715000.0,173205000.0,-207546000.0,4966000.0,5586000.0,-5038000.0,-5227000.0
,accountsReceivables,26409000.0,0.0,0.0,-5686000.0,-263000.0,115000.0,-2122000.0,716000.0,-2493000.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-48791000.0,-10706000.0,-20590000.0,-27575000.0,2870000.0,-5502000.0,-5096000.0,-114000.0,-4448000.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-1892420000.0,774861000.0,227021000.0,480994000.0,428109000.0,71654000.0,416368000.0,298653000.0,125448000.0,332994000.0,342000.0,350000.0,-341000.0
,otherNonCashItems,0.0,4100000.0,3504000.0,3499000.0,4773000.0,5080000.0,5379000.0,5736000.0,6612000.0,120000.0,4025000.0,-167998000.0,-116000.0
,netCashProvidedByOperatingActivites,-168708000.0,397325000.0,394834000.0,260595000.0,331363000.0,328914000.0,298833000.0,251386000.0,176134000.0,134120000.0,64078000.0,28852000.0,76978000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,-279000.0,-219000.0,-283000.0,-659000.0,-47000.0,-185000.0,-342000.0,-330451000.0,-844936000.0,-20612000.0,-126308000.0
,acquisitionsNet,0.0,0.0,0.0,-25000000.0,0.0,-142000000.0,-632000000.0,-208000000.0,-247000000.0,-237000000.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9910000.0,0.0,0.0,-12917000.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,12792000.0,0.0,0.0,7246000.0,2664000.0,207000.0,207000.0,68000.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,-11751000.0,9147000.0,-624000.0,2357000.0,22501000.0,-16768000.0,-14486000.0,-19181000.0,-4092000.0
,netCashUsedForInvestingActivites,-66692000.0,530412000.0,277114000.0,64980000.0,173371000.0,-38101000.0,-611183000.0,-262067000.0,-363828000.0,-347012000.0,-786607000.0,-198025000.0,-130400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-518591000.0,-958498000.0,-5760000.0,-54651000.0,-166587000.0,-463222000.0,-798941000.0,-514084000.0,-629342000.0,-814835000.0,-16808000.0,-106118000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,232712000.0,327547000.0,0.0,567672000.0,0.0,0.0,0.0
,commonStockRepurchased,-62604000.0,-125219000.0,-25413000.0,-5660000.0,-18773000.0,-237206000.0,-6107000.0,-4034000.0,-2345000.0,-1202000.0,-28971000.0,-39000.0,-6405000.0
,dividendsPaid,0.0,-254944000.0,-258822000.0,-177492000.0,-165202000.0,-171252000.0,-126021000.0,-98052000.0,-69303000.0,-44118000.0,-31065000.0,0.0,-92584000.0
,otherFinancingActivites,0.0,-7665000.0,-3449000.0,-1465000.0,-5628000.0,-1034000.0,-5302000.0,-4952000.0,-6944000.0,80659000.0,793326000.0,15461000.0,202214000.0
,netCashUsedProvidedByFinancingActivities,243030000.0,-385419000.0,-946182000.0,-190377000.0,-182254000.0,-419079000.0,242560000.0,227068000.0,-6676000.0,255669000.0,838601000.0,164374000.0,125706000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,7630000.0,542318000.0,-274234000.0,135198000.0,322480000.0,-128266000.0,-69790000.0,216387000.0,-194370000.0,42777000.0,116072000.0,-4799000.0,72284000.0
,cashAtEndOfPeriod,934790000.0,927160000.0,384842000.0,659076000.0,456672000.0,134192000.0,262458000.0,332248000.0,115861000.0,310231000.0,267454000.0,151382000.0,156181000.0
,cashAtBeginningOfPeriod,927160000.0,384842000.0,659076000.0,523878000.0,134192000.0,262458000.0,332248000.0,115861000.0,310231000.0,267454000.0,151382000.0,156181000.0,83897000.0
,operatingCashFlow,-168708000.0,397325000.0,394834000.0,260595000.0,331363000.0,328914000.0,298833000.0,251386000.0,176134000.0,134120000.0,64078000.0,28852000.0,76978000.0
