date,,2020-07-25_FY,2019-07-27_FY,2018-07-28_FY,2017-07-29_FY,2016-07-30_FY,2015-07-25_FY,2014-07-26_FY,2013-07-27_FY,2012-07-28_FY,2011-07-30_FY,2010-07-31_FY,2009-07-25_FY,2008-07-26_FY,2007-07-28_FY,2006-07-29_FY,2005-07-30_FY,2004-07-31_FY,2003-07-26_FY,2002-07-27_FY,2001-07-28_FY,2000-07-29_FY,1999-07-31_FY,1998-07-25_FY,1997-07-26_FY,1996-07-28_FY,1995-07-30_FY,1994-07-31_FY,1993-07-31_FY,1992-07-31_FY,1991-07-31_FY,1990-07-31_FY,1989-07-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,11214000000.0,11621000000.0,110000000.0,9609000000.0,10739000000.0,8981000000.0,7853000000.0,9983000000.0,8041000000.0,6490000000.0,7767000000.0,6134000000.0,8052000000.0,7333000000.0,5580000000.0,5741000000.0,4401000000.0,3578000000.0,1893000000.0,-1014000000.0,2668000000.0,2096000000.0,1350000000.0,1049000000.0,913000000.0,421000000.0,314900000.0,172000000.0,84400000.0,43200000.0,13900000.0,4200000.0
,depreciationAndAmortization,1808000000.0,1897000000.0,2192000000.0,2286000000.0,2150000000.0,2442000000.0,2432000000.0,2351000000.0,2602000000.0,2486000000.0,2030000000.0,1768000000.0,1744000000.0,1413000000.0,1293000000.0,1009000000.0,1443000000.0,1591000000.0,1957000000.0,2236000000.0,863000000.0,486000000.0,327000000.0,212000000.0,133000000.0,59000000.0,30800000.0,13600000.0,6700000.0,3000000.0,1000000.0,100000.0
,deferredIncomeTax,-38000000.0,-350000000.0,900000000.0,-124000000.0,-194000000.0,-23000000.0,-678000000.0,-37000000.0,-314000000.0,-157000000.0,-477000000.0,-574000000.0,-772000000.0,-622000000.0,-343000000.0,55000000.0,1089000000.0,-14000000.0,-573000000.0,-924000000.0,-782000000.0,630000000.0,-60000000.0,-186000000.0,-74000000.0,-66000000.0,-30700000.0,-6600000.0,-7800000.0,-5800000.0,-400000.0,-1200000.0
,stockBasedCompensation,1569000000.0,1570000000.0,1576000000.0,1526000000.0,1458000000.0,1440000000.0,1348000000.0,1120000000.0,1401000000.0,1620000000.0,1517000000.0,1140000000.0,1025000000.0,931000000.0,0.0,165000000.0,0.0,104000000.0,307000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,2199000000.0,-18759000000.0,-21318000000.0,2312000000.0,3852000000.0,2651000000.0,3976000000.0,-873000000.0,4477000000.0,7537000000.0,1666000000.0,8681000000.0,3625000000.0,3853000000.0,10843000000.0,-2120000000.0,519000000.0,-3937000000.0,4319000000.0,-1175000000.0,4302000000.0,-383000000.0,14000000.0,590000000.0,733000000.0,355800000.0,153900000.0,-20500000.0,54100000.0,49700000.0,58300000.0,-1000000.0
,accountsReceivables,-107000000.0,-84000000.0,-269000000.0,756000000.0,-404000000.0,-413000000.0,340000000.0,-1001000000.0,272000000.0,298000000.0,-1528000000.0,610000000.0,171000000.0,-597000000.0,0.0,-373000000.0,-488000000.0,-125000000.0,270000000.0,833000000.0,-1057000000.0,54000000.0,-128000000.0,-547000000.0,-239000000.0,-146000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,84000000.0,131000000.0,-244000000.0,-394000000.0,315000000.0,-116000000.0,-109000000.0,218000000.0,-287000000.0,-147000000.0,-158000000.0,187000000.0,104000000.0,61000000.0,0.0,221000000.0,-538000000.0,70000000.0,149000000.0,-452000000.0,-580000000.0,-434000000.0,-107000000.0,46000000.0,-230000000.0,-43000000.0,-19000000.0,-18300000.0,-3100000.0,-2400000.0,-1100000.0,-1400000.0
,accountsPayables,141000000.0,87000000.0,504000000.0,311000000.0,-65000000.0,87000000.0,-23000000.0,164000000.0,-7000000.0,-28000000.0,139000000.0,-208000000.0,62000000.0,-107000000.0,0.0,62000000.0,54000000.0,35000000.0,-174000000.0,95000000.0,-378000000.0,102000000.0,-42000000.0,-53000000.0,-109000000.0,-13000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,18242000000.0,16043000000.0,34802000000.0,56120000000.0,53808000000.0,49956000000.0,47305000000.0,43329000000.0,44202000000.0,39725000000.0,32188000000.0,30522000000.0,21841000000.0,18216000000.0,14363000000.0,3520000000.0,5640000000.0,5121000000.0,9058000000.0,4739000000.0,5914000000.0,1612000000.0,1995000000.0,1981000000.0,1391000000.0,658000000.0,302200000.0,148300000.0,168800000.0,114700000.0,65000000.0,6700000.0
,otherNonCashItems,1524000000.0,1586000000.0,1120000000.0,1519000000.0,1003000000.0,1188000000.0,1010000000.0,1081000000.0,1360000000.0,1343000000.0,44000000.0,1406000000.0,633000000.0,-76000000.0,889000000.0,352000000.0,570000000.0,667000000.0,1481000000.0,5723000000.0,4043000000.0,381000000.0,1061000000.0,674000000.0,270000000.0,53000000.0,-200000.0,0.0,0.0,0.0,0.0,100000.0
,netCashProvidedByOperatingActivites,15426000000.0,15831000000.0,13666000000.0,13876000000.0,13570000000.0,12552000000.0,12332000000.0,12894000000.0,11491000000.0,10079000000.0,10173000000.0,9897000000.0,12089000000.0,10104000000.0,7899000000.0,7568000000.0,7121000000.0,5240000000.0,6587000000.0,6392000000.0,6141000000.0,4438000000.0,2881000000.0,1442000000.0,1063000000.0,396000000.0,317500000.0,176000000.0,125500000.0,44000000.0,9500000.0,2200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-770000000.0,-909000000.0,-834000000.0,-964000000.0,-1146000000.0,-1227000000.0,-1275000000.0,-1160000000.0,-1126000000.0,-1174000000.0,-1008000000.0,-1005000000.0,-1268000000.0,-1251000000.0,-772000000.0,-692000000.0,-613000000.0,-717000000.0,-2641000000.0,-2275000000.0,-1530000000.0,-584000000.0,-415000000.0,-330000000.0,-283000000.0,-112000000.0,-59600000.0,-33900000.0,-21600000.0,-11300000.0,-4100000.0,-300000.0
,acquisitionsNet,-327000000.0,-2175000000.0,-3006000000.0,-3324000000.0,-3161000000.0,-326000000.0,-2989000000.0,-6766000000.0,-375000000.0,-266000000.0,-5279000000.0,-426000000.0,-398000000.0,-3684000000.0,-5399000000.0,-911000000.0,0.0,33000000.0,16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
