Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Depreciation & Amortization,58030000.0,58000000.0,52722000.0,52000000.0,46122000.0,46000000.0,34761000.0,34000000.0,27712000.0,28000000.0,0.0,0.0
Stock-based compensation,-158000.0,,751000.0,,646000.0,,3192000.0,,0.0,,0.0,0.0
Operating Cash Flow,131546000.0,132000000.0,180503000.0,181000000.0,264503000.0,265000000.0,136799000.0,137000000.0,164766000.0,165000000.0,0.0,0.0
Capital Expenditure,7058000.0,-171000000.0,23068000.0,-113000000.0,36614000.0,-248000000.0,20070000.0,-328000000.0,22025000.0,-184000000.0,0.0,0.0
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Investment purchases and sales,0.0,11000000,-28608000.0,-8000000,-57423000.0,8000000,0.0,4000000,0.0,18000000,0.0,0.0
Investing Cash flow,-153984000.0,-154000000.0,-114738000.0,-115000000.0,-240638000.0,-241000000.0,-323200000.0,-323000000.0,-166376000.0,-166000000.0,0.0,0.0
Issuance (repayment) of debt,-25588000.0,-26000000.0,-125783000.0,-126000000.0,-432645000.0,-433000000.0,-204486000.0,-204000000.0,-180083000.0,-180000000.0,-0.0,-0.0
Issuance (buybacks) of shares,0.0,,-28608000.0,,-57423000.0,,-88109000.0,,-97252000.0,,0.0,0.0
Dividend payments,-30534000.0,,-31006000.0,,-33243000.0,,-34164000.0,,-21352000.0,,-5338000.0,-0.0
Financing Cash Flow,-56048000.0,-56000000.0,-185206000.0,-185000000.0,186399000.0,186000000.0,177479000.0,177000000.0,0.0,-106000000.0,0.0,0.0
Effect of forex changes on cash,159000.0,000000.0,-52000.0,000000.0,-309000.0,-0000000.0,-221000.0,-0000000.0,-138000.0,-0000000.0,0.0,0.0
Net cash flow / Change in cash,-78327000.0,-78000000.0,-119493000.0,-119000000.0,209955000.0,210000000.0,-9143000.0,-9000000.0,-107793000.0,-108000000.0,0.0,0.0
Free Cash Flow,124488000.0,-39000000.0,157435000.0,67000000.0,227889000.0,16000000.0,116729000.0,-191000000.0,142741000.0,-19000000.0,0.0,0.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
