date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,129488000.0,196979000.0,136429000.0,115916000.0,137228000.0,123227000.0,192041000.0,111077000.0,78210000.0,100224000.0,92425000.0,87071000.0,73620000.0,38475000.0,73133000.0,45168000.0,35154000.0,44504000.0,31307000.0,12156000.0,91679000.0,26000000.0,78100000.0,114800000.0,83500000.0,87100000.0,77200000.0
,depreciationAndAmortization,224223000.0,205994000.0,187318000.0,175655000.0,164925000.0,147835000.0,138337000.0,133189000.0,126402000.0,113600000.0,107626000.0,151134000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,44964000.0,15098000.0,8570000.0,69657000.0,124543000.0,51801000.0,144269000.0,23532000.0,21449000.0,24007000.0,37734000.0,13853000.0,44161000.0,-7369000.0,-19108000.0,8865000.0,19168000.0,28395000.0,-40287000.0,79141000.0,79274000.0,-1100000.0,10400000.0,37100000.0,12500000.0,-5500000.0,15400000.0
,stockBasedCompensation,5846000.0,11353000.0,5367000.0,7359000.0,7891000.0,6914000.0,8114000.0,6218000.0,5792000.0,5756000.0,4916000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-35377000.0,67077000.0,67307000.0,-303781000.0,112447000.0,-178712000.0,85739000.0,-5306000.0,-57737000.0,-13008000.0,84884000.0,121823000.0,225147000.0,-518529000.0,46585000.0,14178000.0,15275000.0,-16865000.0,-176651000.0,238050000.0,-60607000.0,-77300000.0,67300000.0,12200000.0,9900000.0,10900000.0,-18400000.0
,accountsReceivables,-10960000.0,-4366000.0,15474000.0,-9270000.0,-17170000.0,-10538000.0,16425000.0,-32675000.0,8100000.0,30616000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-868000.0,-6148000.0,-5807000.0,-4767000.0,834000.0,12208000.0,-19394000.0,2509000.0,4551000.0,-3388000.0,-11248000.0,16245000.0,-18541000.0,4522000.0,11698000.0,-10642000.0,-4023000.0,-682000.0,-271000.0,-853000.0,3857000.0,500000.0,9500000.0,-8100000.0,7700000.0,-11700000.0,-1900000.0
,accountsPayables,-10152000.0,7471000.0,-470000.0,-8162000.0,5176000.0,-8138000.0,-12562000.0,-8389000.0,30189000.0,-18032000.0,13606000.0,-18444000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,14837000.0,-225584000.0,-292661000.0,-359968000.0,-56187000.0,-168634000.0,10078000.0,-75661000.0,-70355000.0,-12618000.0,390000.0,-84494000.0,-206317000.0,-431464000.0,87065000.0,40480000.0,26302000.0,11027000.0,27892000.0,204543000.0,-33507000.0,27100000.0,104400000.0,37100000.0,24900000.0,15000000.0,4100000.0
,otherNonCashItems,-67157000.0,-98673000.0,-40790000.0,-20637000.0,-33878000.0,11180000.0,-30511000.0,-31528000.0,-21802000.0,36724000.0,27908000.0,22098000.0,25622000.0,30734000.0,-18743000.0,0.0,0.0,-11214000.0,0.0,0.0,0.0,76500000.0,214000000.0,69900000.0,72100000.0,67600000.0,69900000.0
,netCashProvidedByOperatingActivites,331004000.0,398212000.0,361885000.0,410298000.0,358267000.0,375640000.0,267268000.0,242557000.0,316553000.0,269465000.0,228437000.0,258781000.0,115378000.0,251641000.0,201466000.0,128545000.0,108342000.0,119222000.0,331318000.0,-110539000.0,76196000.0,111200000.0,267900000.0,202400000.0,177600000.0,132200000.0,144800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-239782000.0,-202227000.0,0.0,-222698000.0,-209091000.0,-165085000.0,-217696000.0,-118472000.0,-105659000.0,-83597000.0,-282184000.0,-199341000.0,-116700000.0,-107800000.0,-100700000.0,-92700000.0,-83500000.0,-117400000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,14000000.0,245000000.0,0.0,-50000000.0,0.0,0.0,0.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-5925000.0,-13508000.0,-13283000.0,-13680000.0,-13097000.0,0.0,-12267000.0,-35949000.0,-100374000.0,-96634000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,6786000.0,0.0,0.0,0.0,0.0,0.0,14612000.0,22960000.0,137999000.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105228000.0,148900000.0,0.0,0.0,0.0,600000.0,0.0
,otherInvestingActivites,-7298000.0,-5900000.0,-5027000.0,-9999000.0,-12372000.0,-7278000.0,-19048000.0,3885000.0,-6009000.0,89054000.0,-45421000.0,6795000.0,30795000.0,22073000.0,-5820000.0,2892000.0,1579000.0,-4739000.0,34729000.0,-12158000.0,-2753000.0,-59400000.0,-9200000.0,-13100000.0,-10600000.0,-5000000.0,-65500000.0
,netCashUsedForInvestingActivites,-410743000.0,-445511000.0,-440432000.0,-434103000.0,-432466000.0,-387827000.0,-103736000.0,-312217000.0,-294668000.0,-282281000.0,-253223000.0,-215602000.0,-185345000.0,-186577000.0,-139715000.0,-197593000.0,-119427000.0,-109849000.0,-48282000.0,-218389000.0,-96866000.0,-27200000.0,-117000000.0,-113800000.0,-103300000.0,-87900000.0,-182900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
