date,,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-14099601000.0,-12716323000000.0,-8229825000000.0,-2567142000.0,-5081903000.0,-5207243000.0,-4454705000.0,-5799480000.0,-9586212000.0,-15600061000.0,-12668270000.0,-13351202000.0,-9395074000.0
,depreciationAndAmortization,14521047000.0,13096587000000.0,12975981000000.0,11004883000.0,3571974000.0,998789000.0,516892000.0,847881000.0,1361798000.0,1882959000.0,1709040000.0,1397094000.0,1510172000.0
,deferredIncomeTax,0.0,-1669485000000.0,-7710536000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,2483714000.0,878343000000.0,639296000000.0,371758000.0,296069000.0,199754000.0,97065000.0,254947000.0,342183000.0,617499000.0,544418000.0,856392000.0,38422000.0
,changeInWorkingCapital,6569637121000.0,-8319978000000.0,1732800591000.0,310208000.0,9759198000.0,4001405000.0,-2219911000.0,-318846000.0,-767295000.0,-4454882000.0,-1484585000.0,-9478116000.0,0.0
,accountsReceivables,-3331828000.0,190467000000.0,111659000000.0,97486000.0,226261000.0,334931000.0,51654000.0,-241710000.0,665336000.0,2041454000.0,1013550000.0,-4200519000.0,96952000.0
,inventory,0.0,0.0,0.0,0.0,0.0,-21084000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,5350183000.0,-1254445000000.0,0.0,-1403213000.0,-2883660000.0,-103041000.0,275530000.0,-42904000.0,-270339000.0,1300248000.0,-1493034000.0,2244292000.0,-818149000.0
,otherWorkingCapital,-15438879000.0,-6585076000000.0,1734902000000.0,2101409000.0,1791201000.0,-7967997000.0,-11969402000.0,-9749491000.0,-9430645000.0,-8663350000.0,-4208468000.0,-2723883000.0,6754233000.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,5321096000.0,326287000000.0,-152603000000.0,2160915000.0,-2733681000.0,-3360642000.0,-3461117000.0,-4959202000.0,-6421956000.0,-5099210000.0,-7608589000.0,-11343665000.0,-7980651000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-4345358000.0,-4766214000000.0,-3440450000000.0,-3819413000.0,-1307349000.0,-377892000.0,-139934000.0,-223571000.0,-31102000.0,-403035000.0,-980694000.0,-3299198000.0,-1877252000.0
,acquisitionsNet,-558329000.0,-23273892000000.0,-28457739000000.0,-7318790000.0,-32108450000.0,-17253648000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-4568443000.0,-27460035000000.0,-30863462000000.0,-9327900000.0,-35698688000.0,-18632384000.0,-146528000.0,-340441000.0,-1229000.0,-388157000.0,-304615000.0,-3693097000.0,-2396445000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1500000000.0,-15000000000000.0,0.0,0.0,0.0,0.0,-2587000.0,-12868000.0,0.0,-89996000.0,-960063000.0,-818883000.0,-2538464000.0
,commonStockIssued,974076000.0,2345146000000.0,5630000000000.0,0.0,4102669000.0,1167239000.0,1065507000.0,3577501000.0,0.0,3047800000.0,1459280000.0,0.0,23884533000.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-664634000.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-5444175000.0,26815115000000.0,32111925000000.0,7435093000.0,44065730000.0,22534683000.0,3654862000.0,5386503000.0,0.0,5830796000.0,5284866000.0,0.0,20798874000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-4691522000.0,-318633000000.0,1095860000000.0,268108000.0,5633361000.0,540167000.0,-17323000.0,-78649000.0,0.0,343429000.0,112074000.0,0.0,10421778000.0
,cashAtEndOfPeriod,2557541000.0,7221910000000.0,7540543000000.0,6444683000.0,6176575000.0,543214000.0,3047000.0,20370000.0,0.0,458246000.0,114817000.0,0.0,14790504000.0
,cashAtBeginningOfPeriod,7249063000.0,7540543000000.0,6444683000000.0,6176575000.0,543214000.0,3047000.0,20370000.0,99019000.0,0.0,114817000.0,2743000.0,0.0,4368726000.0
