date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2001-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,2904000000.0,-27000000.0,-76000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1768000000.0,0.0,0.0,0.0,0.0,1739000000.0,1396000000.0,0.0
,depreciationAndAmortization,958000000.0,-215000000.0,-257000000.0,0.0,0.0,0.0,0.0,0.0,0.0,711000000.0,0.0,0.0,0.0,0.0,677000000.0,686000000.0,0.0
,deferredIncomeTax,111000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23000000.0,0.0,0.0,0.0,0.0,188000000.0,383000000.0,0.0
,stockBasedCompensation,-58000000.0,508000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,947000000.0,2222000000.0,904000000.0,-566000000.0,-69000000.0,-376000000.0,4479000000.0,-8669000000.0,-6750000000.0,4322000000.0,628000000.0,1016000000.0,442000000.0,636000000.0,558000000.0,-1169000000.0,0.0
,accountsReceivables,-666000000.0,0.0,0.0,0.0,0.0,0.0,2466000000.0,1498000000.0,0.0,205000000.0,0.0,0.0,0.0,77000000.0,146000000.0,117000000.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51000000.0,0.0,0.0,0.0,0.0,-101000000.0,-723000000.0,0.0
,otherWorkingCapital,554000000.0,-393000000.0,-2615000000.0,-3519000000.0,-2953000000.0,-2884000000.0,-2508000000.0,-6987000000.0,1682000000.0,8432000000.0,4110000000.0,3482000000.0,2466000000.0,2024000000.0,1388000000.0,830000000.0,1999000000.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,5197000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3319000000.0,1281000000.0,1399000000.0,1404000000.0,0.0,1538000000.0,658000000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-598000000.0,-347000000.0,-851000000.0,0.0,0.0,0.0,-1511000000.0,-1061000000.0,-782000000.0,-924000000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,-94000000.0,-361000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2100000000.0,0.0,-3177000000.0,-176000000.0,-17000000.0,-566000000.0,-1543000000.0,-917000000.0,-852000000.0,-4016000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731000000.0,84000000.0,50000000.0,9000000.0,735000000.0,225000000.0,169000000.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-73000000.0,0.0,0.0,-675000000.0,-796000000.0,-3918000000.0,-4600000000.0,-1748000000.0,-1829000000.0,-937000000.0,-870000000.0,-1360000000.0,-2072000000.0,-491000000.0,-309000000.0,-200000000.0,-2035000000.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1391000000.0,-377000000.0,1793000000.0,-870000000.0,-1383000000.0,-1115000000.0,206000000.0,-187000000.0,511000000.0,1000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1935000000.0,235000000.0,-2000000.0,-277000000.0,433000000.0,434000000.0,317000000.0,0.0
