Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Depreciation & Amortization,19686000.0,15219000.0,15000000.0,13229000.0,13000000.0,11420000.0,11000000.0,9749000.0,10000000.0,7621000.0,8000000.0,7548000.0,7132000.0
Stock-based compensation,276000.0,410000.0,0000000.0,566000.0,1000000.0,1048000.0,1000000.0,1879000.0,2000000.0,346000.0,0000000.0,346000.0,0.0
Operating Cash Flow,-17497000.0,13446000.0,13000000.0,27827000.0,28000000.0,18791000.0,19000000.0,20152000.0,20000000.0,20796000.0,21000000.0,17451000.0,15655000.0
Capital Expenditure,3361000.0,49188000.0,-49000000.0,88862000.0,-89000000.0,63184000.0,-63000000.0,25769000.0,-26000000.0,12171000.0,-12000000.0,6780000.0,5531000.0
Acquisitions and disposals,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Investment purchases and sales,0.0,0.0,0,0.0,0,0.0,0,0.0,5000000,0.0,0,0.0,0.0
Investing Cash flow,-1158000.0,-47864000.0,-48000000.0,-77679000.0,-78000000.0,-75189000.0,-75000000.0,-37434000.0,-37000000.0,-12179000.0,-12000000.0,-9788000.0,1969000.0
Issuance (repayment) of debt,-964000.0,-540000.0,-8000000.0,-3882000.0,-4000000.0,-7798000.0,-3000000.0,-16429000.0,-16000000.0,-1152000.0,-1000000.0,-0.0,-17439000.0
Issuance (buybacks) of shares,0.0,-35000.0,,0.0,,32119000.0,,0.0,,0.0,,-5734000.0,-4297000.0
Dividend payments,-0.0,-3607000.0,,-14400000.0,,-13847000.0,,-11781000.0,,-10708000.0,,-6443000.0,-3753000.0
Financing Cash Flow,19838000.0,29491000.0,29000000.0,54241000.0,54000000.0,59738000.0,60000000.0,11098000.0,11000000.0,-7146000.0,-7000000.0,-6226000.0,-13469000.0
Effect of forex changes on cash,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net cash flow / Change in cash,1183000.0,-4927000.0,-5000000.0,0.0,4000000.0,0.0,3000000.0,0.0,-6000000.0,0.0,1000000.0,5734000.0,4297000.0
Free Cash Flow,-20858000.0,-35742000.0,-36000000.0,-61035000.0,-61000000.0,-44393000.0,-44000000.0,-5617000.0,-6000000.0,8625000.0,9000000.0,10671000.0,10124000.0
Net Cash/Marketcap,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
