date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY
,revenue,2332306000.0,2491202000.0,2449484000.0
,costOfRevenue,1944683000.0,1888944000.0,1681202000.0
,grossProfit,387623000.0,602258000.0,768282000.0
,grossProfitRatio,0.166197317161642,0.241753980608558,0.313650548442039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,216511000.0,140860000.0,148242000.0
,SellingAndMarketingExpenses,0.0,18743000.0,89239000.0
,otherExpenses,-14093000.0,-6440000.0,-103523000.0
,operatingExpenses,336309000.0,265974000.0,248288000.0
,costAndExpenses,2280992000.0,2154918000.0,1929490000.0
,interestExpense,95443000.0,84941000.0,64618000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,317892000.0,267189000.0,270454000.0
,EBITDA,369206000.0,603473000.0,790448000.0
,EBITDARatio,0.158300840455755,0.242241696980012,0.322699801264266
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,51314000.0,336284000.0,519994000.0
,operatingIncomeRatio,0.0220014011883518,0.134988652064345,0.212287159254765
,totalOtherIncomeExpensesNet,-153299000.0,-126708000.0,-150846000.0
,incomeBeforeTax,-215880000.0,131899000.0,271459000.0
,incomeBeforeTaxRatio,-0.0925607531773275,0.0529459273073801,0.110822932503335
,incomeTaxExpense,-56873000.0,40923000.0,106194000.0
,netIncome,-146626000.0,74860000.0,126885000.0
,netIncomeRatio,-0.0628673939011433,0.0300497510840149,0.0518007057812992
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-1.11,0.56,1.42
,EPSDiluted,-1.11,0.56,1.42
,weightedAverageShsOut,132622000.0,133313000.0,116527000.0
,weightedAverageShsOutDil,132622000.0,133313000.0,116527000.0
