date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY
,revenue,29080513000.0,27725527000.0,24975747000.0,37876024000.0,60748853000.0,32588838000.0,30137807000.0,23835644000.0,34064477000.0,29532744000.0,26749402000.0,24831764000.0,30231329000.0,23308486000.0,21984244000.0
,costOfRevenue,7959251000.0,6777819000.0,5537063000.0,15373638000.0,16210934000.0,16991559000.0,16327359000.0,12116320000.0,12073459000.0,4969896000.0,6412684000.0,4701232000.0,8216821000.0,11886747000.0,4340101000.0
,grossProfit,21121262000.0,20947708000.0,19438684000.0,22502386000.0,44537919000.0,15597279000.0,13810448000.0,11719324000.0,21991018000.0,24562848000.0,20336718000.0,20130532000.0,22014508000.0,11421739000.0,17644143000.0
,grossProfitRatio,0.726302936953004,0.755538677407286,0.778302406730818,0.594106340200862,0.733148311458654,0.478608012964439,0.458243295539055,0.491672219974422,0.645570398747058,0.831715738977726,0.760268136087678,0.810676680077984,0.728201793576458,0.490024920537524,0.802581294130469
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,6979388000.0,8278287000.0,7804361000.0,10930333000.0,10725913000.0,9844291000.0,8872197000.0,9650395000.0,10091026000.0,14541607000.0,11672544000.0,1806482000.0,7770035000.0,0.0,6545603000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,7037211000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5853655000.0,8160874000.0,5899104000.0
,operatingExpenses,14016599000.0,13628939000.0,12250828000.0,25479121000.0,37119822000.0,37008375000.0,21846412000.0,19757049000.0,18883816000.0,19114241000.0,16595101000.0,16320690000.0,13623690000.0,8160874000.0,12444707000.0
,costAndExpenses,21975850000.0,20406758000.0,17787891000.0,40852759000.0,53330756000.0,53999934000.0,38173771000.0,31873369000.0,30957275000.0,24084137000.0,23007785000.0,21021922000.0,21840511000.0,20047621000.0,16784808000.0
,interestExpense,367234000.0,3588566000.0,2989654000.0,6077104000.0,6679217000.0,6613850000.0,3728450000.0,2411173000.0,2745795000.0,2848884000.0,2008270000.0,2311580000.0,0.0,0.0,2299884000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,1862869000.0,1807429000.0,1701989000.0,1751303000.0,1843785000.0,1842600000.0,1777296000.0,1500540000.0,1775214000.0,1723885000.0,1592476000.0,3476954000.0,3729214000.0,2033916000.0,3364032000.0
,EBITDA,9134124000.0,15002857000.0,20437739000.0,7589895000.0,20618350000.0,-2238523000.0,980058000.0,-1008272000.0,-2748380000.0,9101586000.0,6923264000.0,2206670000.0,15720400000.0,4159241000.0,7257731000.0
,EBITDARatio,0.3140977602424,0.541120715216703,0.818303412506541,0.200387849579988,0.339403115973235,-0.0686898685985674,0.0325192207913469,-0.042301017753076,-0.0806817025254784,0.30818626267847,0.258819393420459,0.0888648104097639,0.520003602884941,0.17844320733659,0.330133299102757
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
