date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2003-03-28_FY,2002-12-31_FY,2002-03-08_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY,1984-12-31_FY,1983-12-31_FY
,revenue,15355000000.0,43259000000.0,41303000000.0,37736000000.0,36556000000.0,37864000000.0,38901000000.0,38279000000.0,37152000000.0,37110000000.0,23229000000.0,16335000000.0,20194000000.0,20143000000.0,19340000000.0,17379000000.0,16391000000.0,13724000000.0,1741000000.0,14286000000.0,1646000000.0,16138000000.0,19352000000.0,18027000000.0,17561000000.0,17378000000.0,16362000000.0,14943000000.0,13950000000.0,14511000000.0,12889700000.0,11663000000.0,11037000000.0,9794000000.0,8982000000.0,8305000000.0,7119000000.0,5292000000.0,6968000000.0,6022000000.0
,costOfRevenue,20385000000.0,30786000000.0,30165000000.0,27056000000.0,24856000000.0,25952000000.0,29569000000.0,29925000000.0,29757000000.0,19459000000.0,7807000000.0,7455000000.0,9194000000.0,316000000.0,679000000.0,685000000.0,709000000.0,1003000000.0,1240000000.0,1240000000.0,1280000000.0,4271000000.0,1038000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3658000000.0,3408100000.0,5589000000.0,5018000000.0,3877000000.0,3262000000.0,2895000000.0,2534000000.0,2039000000.0,4654000000.0,4311000000.0
,grossProfit,-5030000000.0,12473000000.0,11138000000.0,10680000000.0,11700000000.0,11912000000.0,9332000000.0,8354000000.0,7395000000.0,17651000000.0,15422000000.0,8880000000.0,11000000000.0,19827000000.0,18661000000.0,16694000000.0,15682000000.0,12721000000.0,501000000.0,13046000000.0,366000000.0,11867000000.0,18314000000.0,0.0,0.0,0.0,0.0,0.0,0.0,10853000000.0,9481600000.0,6074000000.0,6019000000.0,5916000000.0,5719000000.0,5410000000.0,4585000000.0,3253000000.0,2314000000.0,1711000000.0
,grossProfitRatio,-0.327580592640834,0.288333063639936,0.26966564172094,0.283018867924528,0.320056899004267,0.314599619691528,0.239891005372613,0.218239765929099,0.199047157622739,0.475639989221234,0.66391148994791,0.543617998163453,0.544716252352184,0.984312167998808,0.964891416752844,0.960584613614132,0.956744554938686,0.9269163509181,0.287765651924182,0.913201735965281,0.222357229647631,0.735345148097658,0.946362133112857,0.0,0.0,0.0,0.0,0.0,0.0,0.74791537454345,0.735595087550525,0.520792248992541,0.545347467608952,0.604043291811313,0.636717880204854,0.651414810355208,0.644051130776795,0.614701436130008,0.332089552238806,0.284124875456659
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7652000000.0,5002000000.0,3773000000.0,7559000000.0,5543000000.0,4267000000.0,0.0,0.0,0.0,0.0,0.0,0.0,8802000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9909000000.0,9293800000.0,4057000000.0,3550000000.0,3158000000.0,2838000000.0,2778000000.0,2558000000.0,2030000000.0,0.0,0.0
,SellingAndMarketingExpenses,459000000.0,1651000000.0,1558000000.0,1349000000.0,1303000000.0,1342000000.0,1373000000.0,1390000000.0,1352000000.0,1435000000.0,912000000.0,534000000.0,710000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710000000.0,0.0,0.0,0.0,0.0,0.0,0.0,165000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-1327000000.0,-27000000.0,-76000000.0,3000000.0,-19000000.0,-352000000.0,-584000000.0,3000000.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1565000000.0,0.0,1722000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1907000000.0,1946000000.0,1776000000.0,1698000000.0,1834000000.0,1435000000.0,1041000000.0,1225000000.0,1083000000.0
