Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12
Revenue,39619000.0,40000000.0,32461000.0,32000000.0,21031000.0,21000000.0,13000000.0,7000000.0
Revenue Growth,-0.009525,0.232247928283171,0.01440625,0.521563406400076,0.00147619047619048,0.615384615384615,0.857142857142857,
Cost of Revenue,11741000.0,12000000.0,8824000.0,9000000.0,7733000.0,8000000.0,5000000.0,2000000.0
Gross Profit,27878000.0,28000000.0,23637000.0,24000000.0,13298000.0,13000000.0,8000000.0,5000000.0
R&D Expenses,9018000.0,9000000.0,9908000.0,10000000.0,7869000.0,8000000.0,5000000.0,4000000.0
SG&A Expense,54119000.0,54000000.0,52409000.0,52000000.0,40636000.0,41000000.0,23000000.0,12000000.0
Operating Expenses,63137000.0,63000000.0,62317000.0,62000000.0,48505000.0,49000000.0,28000000.0,17000000.0
Operating Income,-35259000.0,-35000000.0,-38680000.0,-39000000.0,-35207000.0,-35000000.0,-20000000.0,-12000000.0
Interest Expense,2370000.0,2000000.0,2018000.0,2000000.0,1881000.0,2000000.0,1000000.0,0000000.0
Earnings before Tax,39900000.0,-40000000.0,40600000.0,-41000000.0,-37600000.0,-38000000.0,-21000000.0,-12000000.0
Income Tax Expense,0.0,,0.0,,0.0,,,
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,,
Net Income - Discontinued ops,0.0,,0.0,,0.0,,,
Net Income,-39918000.0,-40000000.0,-40609000.0,-41000000.0,-37570000.0,-38000000.0,-21000000.0,-12000000.0
Preferred Dividends,0.0,,0.0,,0.0,,,
Net Income Com,-39918000.0,-40000000.0,-40609000.0,-41000000.0,-37570000.0,-38000000.0,-21000000.0,-12000000.0
EPS,-2.34,-2.34,-2.73,-2.73,-4.94,-4.94,-3.15,8
EPS Diluted,-2.34,-2.34,-2.73,-2.73,-4.94,-4.94,-3.15,8
Weighted Average Shs Out,17051629.0,17000000.0,14869691.0,15000000.0,7619696.0,8000000.0,7000000.0,
Weighted Average Shs Out (Dil),17051037.0,17000000.0,14868501.0,15000000.0,7606172.0,8000000.0,7000000.0,
Dividend per Share,0.0,,0.0,,0.0,,,
Gross Margin,0.703652288044,0.7,0.728166107021,0.75,0.632304693072,0.61904761904762,0.61538461538462,0.71428571428571
EBITDA Margin,-0.836164466544,-0.9,-1.1254428391,-1.15625,-1.58594455803,-1.5714285714286,-1.4615384615385,-1.7142857142857
EBIT Margin,-0.889951790807,-0.95,-1.19158374665,-1.21875,-1.67405258904,-1.7142857142857,-1.5384615384615,-1.7142857142857
Profit Margin,-1.00754688407,-1,-1.25100890299,-1.28125,-1.78641053683,-1.8095238095238,-1.6153846153846,-1.7142857142857
Free Cash Flow margin,-1.00277644564,,-1.16019223068,,-1.66007322524,,,
EBITDA,-33128000.0,-36000000.0,-36533000.0,-37000000.0,-33354000.0,-33000000.0,-19000000.0,-12000000.0
EBIT,-35259000.0,-38000000,-38680000.0,-39000000,-35207000.0,-36000000,-20000000,-12000000
Consolidated Income,-39918000.0,-40000000.0,-40609000.0,-41000000.0,-37570000.0,-38000000.0,-21000000.0,-12000000.0
Earnings Before Tax Margin,1.0070925566,-1,1.25073164721,-1.28125,-1.78783700252,-1.8095238095238,-1.6153846153846,-1.7142857142857
Net Profit Margin,-1.00754688407,-1,-1.25100890299,-1.28125,-1.78641053683,-1.8095238095238,-1.6153846153846,-1.7142857142857
