date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY
,revenue,1236000000.0,1782200000.0,1606200000.0,1520500000.0,1513900000.0,1513800000.0,1353800000.0
,costOfRevenue,0.0,958600000.0,859900000.0,835200000.0,818100000.0,833100000.0,726500000.0
,grossProfit,1236000000.0,823600000.0,746300000.0,685300000.0,695800000.0,680700000.0,627300000.0
,grossProfitRatio,1.0,0.462125462911009,0.464637031502926,0.45070700427491,0.459607635907259,0.44966309948474,0.463362387354114
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,315000000.0,323500000.0,287000000.0,261700000.0,264800000.0,258300000.0,224300000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,100000.0,-400000.0,300000.0,-100000.0,-400000.0,-300000.0
,operatingExpenses,315000000.0,518000000.0,472000000.0,451500000.0,489000000.0,487400000.0,426500000.0
,costAndExpenses,315000000.0,1476600000.0,1331900000.0,1286700000.0,1307100000.0,1320500000.0,1153000000.0
,interestExpense,131000000.0,127000000.0,120000000.0,110800000.0,107400000.0,108500000.0,72700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,145000000.0,194500000.0,185000000.0,189800000.0,224200000.0,229100000.0,202200000.0
,EBITDA,217000000.0,500100000.0,459300000.0,423600000.0,431000000.0,422400000.0,403000000.0
,EBITDARatio,0.175566343042071,0.280608237010437,0.285954426596937,0.278592568234134,0.284695158200674,0.279032897344431,0.297680602747821
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,72000000.0,305600000.0,274300000.0,233800000.0,206800000.0,193300000.0,200800000.0
,operatingIncomeRatio,0.058252427184466,0.171473459768825,0.170775743992031,0.15376520881289,0.136600832287469,0.127691901175849,0.148323238292214
,totalOtherIncomeExpensesNet,0.0,-24900000.0,-39900000.0,8200000.0,-2000000.0,-107300000.0,-18000000.0
,incomeBeforeTax,-58000000.0,145800000.0,108700000.0,125100000.0,91000000.0,-28800000.0,98000000.0
,incomeBeforeTaxRatio,-0.0469255663430421,0.0818090001122209,0.0676752583738015,0.0822755672476159,0.060109650571372,-0.0190249702734839,0.0723888314374354
,incomeTaxExpense,-1000000.0,10900000.0,4900000.0,4100000.0,5400000.0,5400000.0,-206000000.0
,netIncome,-57000000.0,140100000.0,107900000.0,125800000.0,90900000.0,-29400000.0,306900000.0
,netIncomeRatio,-0.0461165048543689,0.0786107058691505,0.0671771883949695,0.0827359421243012,0.0600435960103045,-0.0194213238208482,0.226695228246417
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.395833333333333,0.983157894736842,0.76,0.908303249097473,0.659173313995649,-0.21,2.69
,EPSDiluted,-0.395833333333333,0.978351955307263,0.75,0.9056875449964,0.656791907514451,-0.21,2.67
,weightedAverageShsOut,144000000.0,142500000.0,139300000.0,138500000.0,137900000.0,137300000.0,114300000.0
,weightedAverageShsOutDil,144000000.0,143200000.0,139600000.0,138900000.0,138400000.0,137300000.0,114800000.0
