Date,2019-06-30,2018-06-30,2018-06,2017-06-30,2017-06,2016-06-30,2016-06,2015-06-30,2015-06,2014-06
Revenue,195280000.0,194351000.0,2490000000.0,172263000.0,2340000000.0,167881000.0,2433000000.0,183414000.0,2105000000.0,1809000000.0
Revenue Growth,0.0048,0.1282,,0.0261,,-0.0847,,,,
Cost of Revenue,168605000.0,170104000.0,2348000000.0,154977000.0,2308000000.0,141907000.0,2237000000.0,152101000.0,1946000000.0,1687000000.0
Gross Profit,14720000.0,11136000.0,143000000.0,4049000.0,32000000.0,13543000.0,196000000.0,14472000.0,159000000.0,122000000.0
R&D Expenses,,,,,,,,,,
SG&A Expense,6427000.0,6329000.0,91000000.0,5109000.0,69000000.0,5292000.0,77000000.0,4893000.0,56000000.0,78000000.0
Operating Expenses,,,,,,,,,,
Operating Income,8293000.0,4807000.0,,-1060000.0,,8251000.0,,9473000.0,,
Interest Expense,,,000000.0,,4000000.0,,4000000.0,,11000000.0,14000000.0
Earnings before Tax,7431000.0,2528000.0,,-2702000.0,,7511000.0,,8433000.0,,
Income Tax Expense,-1881000.0,-2021000.0,26000000.0,3710000.0,-50000000.0,-3238000.0,47000000.0,-2492000.0,29000000.0,18000000.0
Net Income - Non-Controlling int,,,,,,,,,,
Net Income - Discontinued ops,,,,,,,,,,
Net Income,,,6000000.0,,14000000.0,,62000000.0,,68000000.0,-46000000.0
Preferred Dividends,,,,,,,,,,
Net Income Com,5550000.0,507000.0,6000000.0,1009000.0,14000000.0,4273000.0,62000000.0,5907000.0,68000000.0,-46000000.0
EPS,0.08,0.01,0.15,0.02,0.32,0.1,1.50,0.15,1.70,-1.20
EPS Diluted,0.08,0.01,0.15,0.02,0.32,0.1,1.50,0.15,1.70,-1.20
Weighted Average Shs Out,68695000.0,42207000.0,42000000.0,42207000.0,42000000.0,42207000.0,42000000.0,42473000.0,39000000.0,38000000.0
Weighted Average Shs Out (Dil),,,42000000.0,,42000000.0,,42000000.0,,39000000.0,38000000.0
Dividend per Share,,,,,,,,,,
Gross Margin,0.0754,0.0573,0.057429718875502,0.0235,0.013675213675214,0.0807,0.080558980682285,0.0789,0.075534441805226,0.067440574903261
EBITDA Margin,,,0.088353413654618,,0.062820512820513,,0.12042745581587,,0.14299287410926,0.075732448866777
EBIT Margin,,,0.01285140562249,,-0.013675213675214,,0.046444718454583,,0.051306413301663,-0.007739082365948
Profit Margin,,,0.0024096385542169,,0.005982905982906,,0.025482942868886,,0.032304038004751,-0.025428413488115
Free Cash Flow margin,,,,,,,,,,
EBITDA,,,220000000.0,,147000000.0,,293000000.0,,301000000.0,137000000.0
EBIT,,,32000000,,-32000000,,113000000,,108000000,-14000000
Consolidated Income,,,6000000.0,,14000000.0,,62000000.0,,68000000.0,-46000000.0
Earnings Before Tax Margin,0.0381,0.013,0,-0.0157,0,0.0447,0,0.046,0,0
Net Profit Margin,,,0.0024096385542169,,0.005982905982906,,0.025482942868886,,0.032304038004751,-0.025428413488115
