date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY,2006-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-19711000.0,-26558544.0,-7966911.0,-13029117.0,-11581430.0,-11031931.0,-15595358.0,-26153158.0,-6735281.0,-1353903.0,-89933.0,-55469.0,-82146.0,-29672.0,-59786.0
,depreciationAndAmortization,1527000.0,1425004.0,1342335.0,946996.0,842179.0,774311.0,495296.0,144289.0,198406.0,179953.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,1654000.0,3539745.0,3187331.0,941650.0,911382.0,3585540.0,4524468.0,2361962.0,1224171.0,376437.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-1631000.0,-19060864.0,-7284267.0,49760131.0,9556290.0,-4041571.0,1273618.0,10081424.0,-1419112.0,-1723800.0,-89933.0,-55469.0,-32146.0,4830.0,16600.0
,accountsReceivables,-1292000.0,4433.0,85773.0,-906074.0,10238.0,-61230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-289000.0,-207593.0,333588.0,-129228.0,-531356.0,-701534.0,-620660.0,-175754.0,-552403.0,-369461.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-936000.0,-732135.0,323070.0,473804.0,-136297.0,86332.0,625389.0,-629101.0,705415.0,-222660.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,267000.0,36963118.0,56023982.0,63308249.0,13548118.0,3991828.0,8033399.0,6759781.0,-3321643.0,-1902531.0,-178731.0,-88798.0,-33329.0,-1183.0,-6013.0
,otherNonCashItems,-326000.0,3009832.0,10939.0,29104.0,37745.0,45121.0,624320.0,664976.0,1451541.0,60000.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,-15621000.0,-14587364.0,-17844266.0,-12068383.0,-9887580.0,-7321811.0,-6582730.0,3855834.0,-1764445.0,-3449430.0,-32004.0,-87591.0,-42451.0,-33547.0,-43186.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-54000.0,-527330.0,-448639.0,-1156906.0,-197229.0,-37481.0,-212487.0,-3452453.0,0.0,-9106.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-22743000.0,-13841821.0,-34215994.0,-58979131.0,0.0,0.0,-700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,39728000.0,19320269.0,50466662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4330.0
,netCashUsedForInvestingActivites,16469000.0,4551933.0,15145044.0,-60586245.0,-553770.0,-450661.0,-2707992.0,-3742789.0,-162774.0,-607297.0,0.0,0.0,0.0,0.0,-4330.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-3732000.0,-700000.0,-800000.0,-333334.0,-333333.0,-508258.0,0.0,-1959549.0,-41000.0,-465709.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,50732200.0,20482378.0,5576083.0,9324088.0,0.0,1467500.0,0.0,0.0,0.0,50000.0,0.0,50000.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,-34500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,46069.0,3471.0,-7333.0,-17342.0,180586.0,0.0,0.0,0.0,5469.0,13650.0
,netCashUsedProvidedByFinancingActivities,-304000.0,9915617.0,-355387.0,62845974.0,20149241.0,5130082.0,9862810.0,5717366.0,1675158.0,4308666.0,32327.0,80000.0,50000.0,5469.0,63650.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,544000.0,-119814.0,-3054609.0,-9808654.0,9707891.0,-2642390.0,572088.0,5830411.0,-252061.0,251939.0,0.0,0.0,7549.0,-28078.0,16134.0
,cashAtEndOfPeriod,1029000.0,485111.0,604925.0,3659534.0,13468188.0,3760297.0,6402687.0,5830599.0,188.0,252249.0,323.0,0.0,7591.0,42.0,28120.0
,cashAtBeginningOfPeriod,485000.0,604925.0,3659534.0,13468188.0,3760297.0,6402687.0,5830599.0,188.0,252249.0,310.0,0.0,7591.0,42.0,28120.0,11986.0
