date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY
,revenue,86377000.0,56734000.0,37632000.0,22874000.0,17585000.0,12180000.0
,costOfRevenue,38195000.0,29898000.0,19684000.0,12887000.0,9837000.0,6465000.0
,grossProfit,48182000.0,26836000.0,17948000.0,9987000.0,7748000.0,5715000.0
,grossProfitRatio,0.557810528265626,0.473014418161949,0.476934523809524,0.436609250677625,0.440602786465738,0.469211822660099
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,20174000.0,16190000.0,15805000.0,16304000.0,16993000.0,10083000.0
,GeneralAndAdministrativeExpenses,59592000.0,52246000.0,33693000.0,19688000.0,12466000.0,10155000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-49000.0,-10000.0,-7000.0,-63000.0,-164000.0,-380000.0
,operatingExpenses,79766000.0,68436000.0,49498000.0,35992000.0,29459000.0,20238000.0
,costAndExpenses,117961000.0,98334000.0,69182000.0,48879000.0,39296000.0,26703000.0
,interestExpense,0.0,-627000.0,-46000.0,951000.0,1298000.0,1040000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,4312000.0,3009000.0,1352000.0,482000.0,444000.0,425000.0
,EBITDA,-27272000.0,-38591000.0,-30198000.0,-25523000.0,-21267000.0,-14098000.0
,EBITDARatio,-0.315732197228429,-0.680209398244439,-0.802455357142857,-1.11580834134826,-1.20938299687233,-1.15747126436782
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-31584000.0,-41600000.0,-31550000.0,-26005000.0,-21711000.0,-14523000.0
,operatingIncomeRatio,-0.365652893710131,-0.733246377833398,-0.838382227891156,-1.13688030077818,-1.23463178845607,-1.1923645320197
,totalOtherIncomeExpensesNet,-49000.0,-10000.0,-7000.0,-63000.0,-164000.0,-380000.0
,incomeBeforeTax,-31906000.0,-40983000.0,-31511000.0,-27019000.0,-23173000.0,-15943000.0
,incomeBeforeTaxRatio,-0.369380737927921,-0.722371064969859,-0.83734587585034,-1.18121010754569,-1.31777082740972,-1.30894909688013
,incomeTaxExpense,-376000.0,-187000.0,25000.0,0.0,0.0,0.0
,netIncome,-31530000.0,-40796000.0,-31536000.0,-27019000.0,-23173000.0,-15943000.0
,netIncomeRatio,-0.365027727288514,-0.719074981492579,-0.838010204081633,-1.18121010754569,-1.31777082740972,-1.30894909688013
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-1.12157706897443,-1.451185,-1.387856,-1.244711,-1.58,-1.252433
,EPSDiluted,-1.12157706897443,-1.451185,-1.387856,-1.244711,-1.58,-1.252433
,weightedAverageShsOut,30100000.0,28112201.0,22369036.0,21707041.0,14483862.0,16206849.0
,weightedAverageShsOutDil,30100000.0,28112201.0,22369036.0,21707041.0,14483862.0,16206849.0
