date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,112563000.0,72353000.0,109398000.0,111678000.0,32955000.0,45575000.0,61920000.0,31784004.0,10330000.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-20878000.0,43202000.0,-17062000.0,-8492000.0,-12000000.0,542000.0,-49875000.0,0.0,-120660000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,-49875000.0,0.0,0.0
,otherNonCashItems,-37853000.0,-34573000.0,-18726000.0,-8931000.0,-6928000.0,-58496000.0,-50521000.0,-19791810.0,-10330000.0
,netCashProvidedByOperatingActivites,-718509000.0,-393489000.0,-166313000.0,60508000.0,-63347000.0,-289571000.0,-49875000.0,-110115207.0,-120660000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-644458000.0,-608717000.0,-768700000.0,-509900000.0,-557950000.0,-374100000.0,0.0,0.0,0.0
,commonStockIssued,278602000.0,0.0,81478000.0,79063000.0,79415000.0,141157000.0,100040000.0,133428296.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,-2948000.0,0.0,0.0,0.0,0.0,129870000.0
,dividendsPaid,-113137000.0,-101059000.0,-94210000.0,-85811000.0,-77347000.0,-72783000.0,-50165000.0,-23313089.0,-9200000.0
,otherFinancingActivites,0.0,0.0,-81000.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,717419000.0,408217000.0,155321000.0,-44682000.0,70004000.0,313016000.0,49875000.0,110115207.0,120660000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-1090000.0,14728000.0,-10992000.0,15826000.0,6657000.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,48574000.0,49664000.0,34936000.0,45928000.0,30102000.0,23445000.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,49664000.0,34936000.0,45928000.0,30102000.0,23445000.0,0.0,0.0,0.0,0.0
,operatingCashFlow,-718509000.0,-393489000.0,-166313000.0,60508000.0,-63347000.0,-289571000.0,-49875000.0,-110115207.0,-120660000.0
,capitalExpenditure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,freeCashFlow,-718509000.0,-393489000.0,-166313000.0,60508000.0,-63347000.0,-289571000.0,-49875000.0,-110115207.0,-120660000.0
