date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY
,revenue,4349000000.0,4288900000.0,5812100000.0,6307100000.0,6175088000.0,3206405000.0,2946102000.0,2293927000.0,2182125000.0,2049985000.0,1817024000.0,1511653000.0,1500650000.0,1157902000.0,939396000.0,707731000.0
,costOfRevenue,3547000000.0,3492100000.0,4856700000.0,5223100000.0,5049706000.0,2562102000.0,2339498000.0,1818378000.0,1728215000.0,1576688000.0,1385690000.0,1185283000.0,1208626000.0,917611000.0,738818000.0,560094000.0
,grossProfit,802000000.0,796800000.0,955400000.0,1084000000.0,1125382000.0,644303000.0,606604000.0,475549000.0,453910000.0,473297000.0,431334000.0,326370000.0,292024000.0,240291000.0,200578000.0,147637000.0
,grossProfitRatio,0.184410209243504,0.185781902119425,0.164381204728067,0.171869797529768,0.182245499983158,0.200942488550261,0.20590054247952,0.207307817554787,0.2080128315289,0.230878274719083,0.237384866683104,0.215902723707094,0.194598340719022,0.207522743720971,0.213518047766863,0.208606094688519
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,248300000.0,253200000.0,280000000.0,300400000.0,340583000.0,161649000.0,158793000.0,121065000.0,102973000.0,101817000.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,263000000.0,256900000.0,378400000.0,402300000.0,404753000.0,180503000.0,174602000.0,134998000.0,136779000.0,142341000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,142000000.0,-40800000.0,-29500000.0,4100000.0,10754000.0,87000.0,-5130000.0,-3245000.0,-1294000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,653000000.0,584500000.0,745800000.0,818100000.0,856389000.0,402750000.0,386029000.0,291438000.0,271905000.0,285022000.0,254781000.0,195561000.0,204899000.0,155347000.0,116224000.0,119048000.0
,costAndExpenses,4200000000.0,4076600000.0,5602500000.0,6041200000.0,5906095000.0,2964852000.0,2725527000.0,2109816000.0,2000120000.0,1861710000.0,1640471000.0,1380844000.0,1413525000.0,1072958000.0,855042000.0,679142000.0
,interestExpense,-104000000.0,102400000.0,114600000.0,126800000.0,119155000.0,45474000.0,42036000.0,49304000.0,51609000.0,53023000.0,45691000.0,18430000.0,27614000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,203000000.0,74100000.0,86400000.0,114100000.0,109872000.0,60598000.0,52634000.0,35375000.0,33546000.0,34402000.0,26352000.0,13381000.0,13528000.0,7195000.0,3268000.0,1732000.0
,EBITDA,352000000.0,286400000.0,296000000.0,380000000.0,378865000.0,302151000.0,273209000.0,219486000.0,215551000.0,222677000.0,202905000.0,144190000.0,100653000.0,92139000.0,87622000.0,30321000.0
,EBITDARatio,0.0809381467003909,0.0667770290750542,0.0509282359216118,0.0602495600196604,0.0613537815169598,0.0942335731138144,0.092735757281995,0.0956813359797413,0.0987803173512058,0.108623721636988,0.111668860730513,0.0953856473674845,0.0670729350614734,0.0795740917625153,0.0932748276552168,0.0428425489345528
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,149000000.0,212300000.0,209600000.0,265900000.0,268993000.0,241553000.0,220575000.0,184111000.0,182005000.0,188275000.0,176553000.0,130809000.0,87125000.0,84944000.0,84354000.0,28589000.0
,operatingIncomeRatio,0.0342607495976086,0.0494998717619903,0.0360626967877359,0.0421588368663887,0.0435609986448776,0.0753345257383269,0.0748701165132775,0.0802601826474862,0.0834072291917282,0.0918421354302593,0.0971660253249269,0.0865337481551652,0.0580581747909239,0.0733602671037791,0.0897959965765236,0.0403952914313489
