date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-259581000.0,-197556000.0,-123580000.0,-92064000.0,-52894000.0,-27660000.0,-12034709.0,-25381363.0,-3307619.0,-25694100.0,-1607988.0,-15772.0,-57140.0
,depreciationAndAmortization,1140000.0,1169000.0,956000.0,952000.0,978000.0,999000.0,88221.0,7087.0,6211.0,2704.0,58597.0,1332.0,1332.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,40887000.0,24277000.0,20027000.0,11968000.0,18904000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,303820000.0,-183567000.0,321578000.0,-25146000.0,62197000.0,59033479.0,25737560.0,28917575.0,1483653.0,-13303316.0,492762.0,-14440.0,-1495.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-2964000.0,12706000.0,1507000.0,369000.0,-250000.0,-32000.0,-354941.0,-543560.0,908223.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,581229000.0,277409000.0,460976000.0,139398000.0,164544000.0,102347000.0,43313521.0,17575961.0,-11341614.0,-12825267.0,478049.0,-14713.0,-273.0
,otherNonCashItems,7572000.0,6618000.0,0.0,0.0,0.0,1771000.0,1255319.0,21229101.0,2688161.0,-11711785.0,677364.0,0.0,0.0
,netCashProvidedByOperatingActivites,-205134000.0,-158889000.0,-101249000.0,-78709000.0,-32668000.0,-18381000.0,-8633247.0,-3662192.0,-2241467.0,-6189199.0,-620805.0,-14448.0,-57303.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-46791000.0,-6917000.0,-1198000.0,-1028000.0,-1521000.0,-1143000.0,-1592030.0,-12705.0,0.0,-31053.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-947663000.0,-417659000.0,-426081000.0,0.0,-110249000.0,-160610000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,676601000.0,514601000.0,41000000.0,59705000.0,120664000.0,70600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-317853000.0,90025000.0,-386279000.0,58677000.0,8894000.0,-91153000.0,-1592030.0,-12705.0,0.0,-81053.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,567043000.0,0.0,0.0,0.0,0.0,68307000.0,32240422.0,7126813.0,250000.0,873000.0,1910000.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-284000.0,-312000.0,-223000.0,-1252000.0,-642000.0,0.0,0.0,0.0,0.0,0.0,-4983.0,19800.0,0.0
,netCashUsedProvidedByFinancingActivities,576422000.0,6131000.0,424307000.0,58688000.0,96904000.0,78267000.0,35462247.0,23347073.0,1731250.0,5488000.0,1905017.0,19800.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,53435000.0,-62733000.0,-63221000.0,38656000.0,73130000.0,-31267000.0,25236970.0,0.0,0.0,-782252.0,1284212.0,5352.0,-57303.0
,cashAtEndOfPeriod,72854000.0,19419000.0,82152000.0,145373000.0,106717000.0,13642000.0,44909147.0,19672177.0,0.0,510217.0,1292469.0,8257.0,2905.0
,cashAtBeginningOfPeriod,19419000.0,82152000.0,145373000.0,106717000.0,33587000.0,44909000.0,19672177.0,0.0,510217.0,1292469.0,8257.0,2905.0,60208.0
,operatingCashFlow,-205134000.0,-158889000.0,-101249000.0,-78709000.0,-32668000.0,-18381000.0,-8633247.0,-3662192.0,-2241467.0,-6189199.0,-620805.0,-14448.0,-57303.0
,capitalExpenditure,-46791000.0,-6917000.0,-1198000.0,-1028000.0,-1521000.0,-1143000.0,-1592030.0,-12705.0,0.0,-31053.0,0.0,0.0,0.0
,freeCashFlow,-251925000.0,-165806000.0,-102447000.0,-79737000.0,-34189000.0,-19524000.0,-10225277.0,-3674897.0,-2241467.0,-6220252.0,-620805.0,-14448.0,-57303.0
