Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12
Depreciation & Amortization,0.0,,0.0,,0.0,,0.0,,
Stock-based compensation,0.0,,0.0,,0.0,,0.0,,
Operating Cash Flow,-2189000.0,-2000000.0,-2500000.0,-2000000.0,-2165000.0,-2000000.0,-2147000.0,-2000000.0,000000.0
Capital Expenditure,0.0,,0.0,,0.0,,0.0,,
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,-0.0,,
Investment purchases and sales,0.0,0,0.0,0,0.0,0,-228781000.0,0,0
Investing Cash flow,120797000.0,121000000.0,20338000.0,20000000.0,20338000.0,20000000.0,20338000.0,20000000.0,000000.0
Issuance (repayment) of debt,-0.0,,-0.0,,-0.0,,-0.0,,
Issuance (buybacks) of shares,-659000.0,,0.0,,0.0,,1095000.0,,
Dividend payments,-118168000.0,,-18536000.0,,-18304000.0,,-17146000.0,,
Financing Cash Flow,-118168000.0,-118000000.0,-18536000.0,-19000000.0,-18517000.0,-19000000.0,-16930000.0,-17000000.0,000000.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,0.0,,
Net cash flow / Change in cash,440000.0,0000000.0,-698000.0,-1000000.0,-344000.0,-0000000.0,1261000.0,1000000.0,000000.0
Free Cash Flow,-2189000.0,-2000000.0,-2500000.0,-2000000.0,-2165000.0,-2000000.0,-2147000.0,-2000000.0,000000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,
