date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,10888019.0,27668190.0,-7514336.0
,depreciationAndAmortization,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0
,changeInWorkingCapital,2620121.0,-1936560.0,-41236695.0
,accountsReceivables,0.0,0.0,0.0
,inventory,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0
,otherNonCashItems,10437530.0,-12514057.0,16261343.0
,netCashProvidedByOperatingActivites,23945670.0,13217573.0,-32489688.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0
,netCashUsedForInvestingActivites,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,64271944.0
,commonStockRepurchased,0.0,0.0,-90000000.0
,dividendsPaid,-28309407.0,-31149962.0,-30227687.0
,otherFinancingActivites,4354101.0,17117190.0,90000000.0
,netCashUsedProvidedByFinancingActivities,-23955306.0,-14032772.0,34044257.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-9636.0,-815199.0,1554569.0
,cashAtEndOfPeriod,1359895.0,1369531.0,2184730.0
,cashAtBeginningOfPeriod,1369531.0,2184730.0,630161.0
,operatingCashFlow,23945670.0,13217573.0,-32489688.0
,capitalExpenditure,0.0,0.0,0.0
,freeCashFlow,23945670.0,13217573.0,-32489688.0
