Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Depreciation & Amortization,5822000.0,4720000.0,2740000.0,1856000.0,1900000.0
Stock-based compensation,6520000.0,1673000.0,939000.0,792000.0,858000.0
Operating Cash Flow,10055000.0,-11509000.0,12138000.0,-11512000.0,-23978000.0
Capital Expenditure,-4529000.0,-5585000.0,-6302000.0,-4174000.0,-1299000.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,-12151000.0,-48458000.0,0.0,0.0,0.0
Investing Cash flow,-16680000.0,-54043000.0,-8431000.0,-4174000.0,-1299000.0
Issuance (repayment) of debt,0.0,-19161000.0,-11561000.0,4786000.0,7414000.0
Issuance (buybacks) of shares,5733000.0,66995000.0,4861000.0,0.0,335000.0
Dividend payments,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,5269000.0,44699000.0,-9104000.0,42920000.0,27678000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-1356000.0,-20853000.0,-5397000.0,27234000.0,2401000.0
Free Cash Flow,5526000.0,-17094000.0,5836000.0,-15686000.0,-25277000.0
Net Cash/Marketcap,0.2205,0.1484,0.1484,0.1484,0.1484
