Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Depreciation & Amortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stock-based compensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Cash Flow,9574753.0,56590276.0,-3960389.0,54235882.0,-21746323.0,-69260439.0,-189981273.0,-74730917.0
Capital Expenditure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Issuance (repayment) of debt,-29272565.0,0.0,0.0,-18000000.0,18000000.0,69035295.0,0.0,0.0
Issuance (buybacks) of shares,-10276450.0,-4933877.0,0.0,0.0,0.0,0.0,201652500.0,76175200.0
Dividend payments,0.0,0.0,0.0,-26358885.0,0.0,0.0,0.0,0.0
Financing Cash Flow,-41229190.0,-5084310.0,-1056854.0,-44358885.0,18000000.0,65161117.0,200913803.0,75116912.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-31654437.0,51505966.0,-5017243.0,9876997.0,-3746323.0,-4099322.0,10932530.0,385995.0
Free Cash Flow,9574753.0,56590276.0,-3960389.0,54235882.0,-21746323.0,-69260439.0,-189981273.0,-74730917.0
Net Cash/Marketcap,-0.0986,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162,0.0162
