date,,2020-05-31_FY,2019-05-31_FY,2018-05-31_FY,2017-05-31_FY,2016-05-31_FY,2015-05-31_FY,2014-05-31_FY,2013-05-31_FY,2012-05-31_FY,2011-05-31_FY,2010-05-31_FY,2009-05-31_FY,2008-05-31_FY,2007-08-14_FY,2007-06-02_FY,2006-06-03_FY,2005-05-28_FY,2004-05-31_FY,2003-05-31_FY,2002-05-31_FY,2001-05-31_FY
,revenue,264157000.0,270634000.0,344285000.0,349643000.0,353890000.0,356974000.0,354455000.0,342026000.0,221787000.0,215750000.0,216035000.0,195054000.0,166500000.0,112227000.0,112200000.0,78500000.0,60300000.0,49055000.0,38434000.0,30890000.0,23390000.0
,costOfRevenue,113885000.0,114634000.0,167410000.0,173474000.0,179574000.0,180085000.0,174594000.0,173037000.0,95829000.0,90047000.0,89066000.0,74989000.0,63913000.0,46060000.0,46100000.0,32900000.0,26900000.0,23254000.0,18572000.0,15333000.0,12418000.0
,grossProfit,150272000.0,156000000.0,176875000.0,176169000.0,174316000.0,176889000.0,179861000.0,168989000.0,125958000.0,125703000.0,126969000.0,120065000.0,102587000.0,66167000.0,66200000.0,45600000.0,33400000.0,25801000.0,19862000.0,15557000.0,10972000.0
,grossProfitRatio,0.568873813678986,0.57642424824671,0.513745879140828,0.50385393100963,0.492571137924214,0.495523483503,0.507429716042939,0.494082321227041,0.567923277739453,0.582632676709154,0.587724211354642,0.615547489413188,0.616138138138138,0.589581829684479,0.590017825311943,0.580891719745223,0.553897180762852,0.525960656406075,0.516782015923401,0.503625768857235,0.469089354424968
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,29682000.0,28258000.0,25459000.0,25269000.0,25053000.0,26931000.0,27510000.0,26319000.0,20511000.0,21373000.0,19275000.0,17914000.0,14424000.0,20555000.0,20600000.0,5900000.0,4600000.0,3551000.0,2509000.0,1951000.0,1426000.0
,GeneralAndAdministrativeExpenses,37872000.0,34902000.0,31265000.0,31406000.0,29603000.0,29871000.0,26035000.0,26127000.0,18334000.0,17828000.0,16437000.0,20136000.0,0.0,-6373000.0,44800000.0,7801000.0,5100000.0,0.0,0.0,11218000.0,0.0
,SellingAndMarketingExpenses,78634000.0,76829000.0,77276000.0,78819000.0,84723000.0,80623000.0,83200000.0,76121000.0,64505000.0,58123000.0,60923000.0,56785000.0,0.0,31605000.0,0.0,21399000.0,16000000.0,0.0,0.0,0.0,0.0
,otherExpenses,-130000.0,-207000.0,-31000.0,-281000.0,-886000.0,-3812000.0,-3412000.0,-2569000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,164309000.0,157045000.0,150635000.0,150953000.0,159759000.0,159479000.0,157371000.0,146512000.0,112756000.0,113740000.0,106098000.0,103961000.0,86351000.0,77392000.0,77400000.0,35200000.0,26000000.0,20678000.0,16624000.0,13169000.0,1426000.0
,costAndExpenses,278194000.0,271679000.0,318045000.0,324427000.0,339333000.0,339564000.0,331965000.0,319549000.0,208585000.0,203787000.0,195164000.0,178950000.0,150264000.0,123452000.0,123500000.0,68100000.0,52900000.0,43932000.0,35196000.0,28502000.0,13844000.0
,interestExpense,907000.0,5099000.0,3062000.0,2839000.0,3396000.0,3197000.0,3656000.0,5271000.0,508000.0,499000.0,672000.0,731000.0,0.0,308000.0,3700000.0,138000.0,150000.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,18121000.0,17056000.0,16635000.0,17296000.0,17964000.0,17912000.0,16797000.0,16345000.0,9406000.0,9234000.0,9463000.0,9126000.0,6849000.0,3764000.0,3760000.0,1080000.0,770000.0,681000.0,657000.0,569000.0,0.0
,EBITDA,4084000.0,16011000.0,42875000.0,42512000.0,32521000.0,35322000.0,39287000.0,38822000.0,22608000.0,21197000.0,30334000.0,25230000.0,23085000.0,-7461000.0,-7440000.0,11380000.0,8170000.0,5804000.0,3895000.0,2957000.0,9546000.0
,EBITDARatio,0.0154605026556177,0.0591610810171671,0.124533453388907,0.121586875756128,0.091895786826415,0.0989483827953857,0.110837765019537,0.113505990772631,0.101935640952806,0.0982479721900348,0.140412433170551,0.129348795718109,0.138648648648649,-0.0664813280226683,-0.0663101604278075,0.144968152866242,0.135489220563847,0.118316175721129,0.101342561273872,0.0957267724182583,0.40812312954254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-14037000.0,-1045000.0,26240000.0,25216000.0,14557000.0,17410000.0,22490000.0,22477000.0,13202000.0,11963000.0,20871000.0,16104000.0,16236000.0,-11225000.0,-11200000.0,10300000.0,7400000.0,5123000.0,3238000.0,2388000.0,9546000.0
,operatingIncomeRatio,-0.0531388530305841,-0.00386130345780648,0.0762159257591821,0.0721192759471804,0.0411342507558846,0.0487710589566747,0.0634495210957667,0.0657172261757878,0.0595255808500949,0.0554484356894554,0.0966093457078714,0.0825617521301793,0.0975135135135135,-0.100020494176981,-0.0998217468805704,0.131210191082803,0.122719734660033,0.104433798797268,0.0842483217984077,0.0773065717060537,0.40812312954254
,totalOtherIncomeExpensesNet,-153191000.0,-8558000.0,-15713000.0,-12530000.0,-14425000.0,-22216000.0,-12454000.0,-17952000.0,-19066000.0,-1503000.0,-1293000.0,-1780000.0,-4343000.0,314000.0,300000.0,200000.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,-168135000.0,-14702000.0,7465000.0,9847000.0,-3253000.0,-7999000.0,6380000.0,-643000.0,-5282000.0,10698000.0,19619000.0,15152000.0,17328000.0,-7172000.0,-7200000.0,11100000.0,7600000.0,4381000.0,2255000.0,1570000.0,-1170000.0
,incomeBeforeTaxRatio,-0.636496477473624,-0.05432429037002,0.0216826175987917,0.028163011986512,-0.00919212184577129,-0.0224077944051948,0.0179994639658067,-0.00187997403706151,-0.0238156429366915,0.04958516801854,0.0908139884740898,0.0776810524265075,0.104072072072072,-0.0639061901324993,-0.0641711229946524,0.14140127388535,0.126036484245439,0.0893079196819896,0.0586720091585575,0.0508255098737455,-0.0500213766566909
,incomeTaxExpense,-1348000.0,-3556000.0,-8870000.0,4839000.0,40337000.0,-4731000.0,3292000.0,-31000.0,-188000.0,2581000.0,7307000.0,5220000.0,6439000.0,1955000.0,2000000.0,4256000.0,3069000.0,1238000.0,1069000.0,561000.0,-1513000.0
,netIncome,-166787000.0,-11146000.0,16335000.0,5008000.0,-43590000.0,-3268000.0,3088000.0,-612000.0,-5094000.0,8117000.0,12312000.0,9932000.0,10889000.0,-9127000.0,-9100000.0,6900000.0,4500000.0,3143000.0,1186000.0,1009000.0,343000.0
,netIncomeRatio,-0.631393451621574,-0.0411847735317809,0.0474461565272957,0.0143231810732662,-0.123173867585973,-0.00915472835556651,0.00871196625805815,-0.00178933765269307,-0.0229679827943026,0.03762224797219,0.0569907653852385,0.0509192326227609,0.0653993993993994,-0.0813262405659957,-0.0811051693404635,0.0878980891719745,0.0746268656716418,0.0640709407807563,0.0308580943955872,0.0326642926513435,0.014664386489953
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-4.37,1.64,0.440593391773432,0.136767075402136,-1.23,-0.09,0.0878870673952641,-0.02,-0.2,0.32637716123844,0.500895036615134,0.407663448949347,0.452168830348572,-0.49486,-0.49457,0.557452735077212,0.388892638582108,0.34,0.128913043478261,0.109673913043478,0.04
,EPSDiluted,-4.37,1.61,0.435147446655478,0.135501501664006,-1.23,-0.09,0.0871331828442438,-0.02,-0.2,0.322961842995265,0.496711986121757,0.405178220079657,0.447205958693924,-0.49486,-0.49457,0.53221957003755,0.364999529961716,0.32,0.125208068678209,0.108059770225731,0.04
,weightedAverageShsOut,37961000.0,37485000.0,37075000.0,36617000.0,36161000.0,35683000.0,35136000.0,34817000.0,25382000.0,24870000.0,24580000.0,24363234.0,24081713.0,18443570.0,18400000.0,12377731.0,11571317.0,9216027.0,9200000.0,9200000.0,9200000.0
,weightedAverageShsOutDil,37961000.0,38147000.0,37539000.0,36959000.0,36161000.0,35683000.0,35440000.0,34817000.0,25382000.0,25133000.0,24787000.0,24512670.0,24348960.0,18443570.0,18400000.0,12964574.0,12328783.0,9838168.0,9472233.0,9337425.0,9200000.0
