Date,2018-12-31,2017-12-31
Cash and cash equivalents,705064000.0,1178919000.0
Short-term investments,1520180000.0,1284642000.0
Cash and short-term investments,2225244000.0,2463561000.0
Receivables,0.0,0.0
Inventories,0.0,0.0
Total current assets,2320442000.0,2563695000.0
Property Plant & Equipment Net,109257000.0,14208000.0
Goodwill and Intangible Assets,269818000.0,4349000.0
Long-term investments,863713000.0,360882000.0
Tax assets,0.0,0.0
Total non-current assets,1439601000.0,453032000.0
Total assets,3760043000.0,3016727000.0
Payables,32343000.0,66874000.0
Short-term debt,0.0,0.0
Total current liabilities,1448819000.0,696818000.0
Long-term debt,0.0,0.0
Total debt,0.0,0.0
Deferred revenue,0.0,0.0
Tax Liabilities,0.0,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,30458000.0,15298000.0
Total liabilities,1479277000.0,712116000.0
Other comprehensive income,133000.0,-1011000.0
Retained earnings (deficit),-2945330000.0,-2033995000.0
Total shareholders equity,-2871281000.0,-1979438000.0
Investments,2383893000.0,1645524000.0
Net Debt,-2225244000.0,-2463561000.0
Other Assets,95198000.0,100134000.0
Other Liabilities,1416476000.0,629944000.0
