Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12
Cash and cash equivalents,17962000.0,18000000.0,28300000.0,28000000.0,46296000.0,46000000.0,6000000.0,5000000.0
Short-term investments,3040000.0,3000000.0,10737000.0,11000000.0,0.0,000000.0,000000.0,1000000.0
Cash and short-term investments,21002000.0,3000000.0,39037000.0,11000000.0,46296000.0,000000.0,000000.0,1000000.0
Receivables,7421000.0,7000000.0,5782000.0,6000000.0,3619000.0,4000000.0,3000000.0,2000000.0
Inventories,7436000.0,7000000.0,5052000.0,5000000.0,5182000.0,5000000.0,4000000.0,3000000.0
Total current assets,37314000.0,8000000.0,51140000.0,9000000.0,56020000.0,10000000.0,10000000.0,1000000.0
Property Plant & Equipment Net,7169000.0,7000000.0,8286000.0,8000000.0,9195000.0,9000000.0,9000000.0,1000000.0
Goodwill and Intangible Assets,0.0,0,0.0,0,0.0,0,0,0
Long-term investments,0.0,,0.0,,0.0,,,
Tax assets,0.0,,0.0,,0.0,,,
Total non-current assets,8181000.0,32000000.0,9195000.0,16000000.0,10285000.0,17000000.0,86000000.0,55000000.0
Total assets,45495000.0,45000000.0,60335000.0,60000000.0,66305000.0,66000000.0,25000000.0,12000000.0
Payables,3598000.0,4000000.0,2192000.0,2000000.0,2458000.0,2000000.0,1000000.0,1000000.0
Short-term debt,5859000.0,6000000.0,1362000.0,1000000.0,0.0,000000.0,000000.0,0000000.0
Total current liabilities,14636000.0,15000000.0,9905000.0,10000000.0,6672000.0,7000000.0,5000000.0,3000000.0
Long-term debt,29116000.0,29000000.0,13261000.0,13000000.0,14480000.0,14000000.0,9000000.0,2000000.0
Total debt,34975000.0,29000000.0,14623000.0,13000000.0,14480000.0,14000000.0,9000000.0,2000000.0
Deferred revenue,36000.0,0000000.0,0.0,000000.0,0.0,000000.0,000000.0,000000.0
Tax Liabilities,577000.0,,448000.0,,329000.0,,,
Deposit Liabilities,0.0,,0.0,,0.0,,,
Total non-current liabilities,31685000.0,32000000.0,15982000.0,16000000.0,17290000.0,17000000.0,86000000.0,55000000.0
Total liabilities,46357000.0,46000000.0,25887000.0,26000000.0,23962000.0,24000000.0,91000000.0,58000000.0
Other comprehensive income,185255000,,180647000,,147937000,,,
Retained earnings (deficit),-186134000.0,-186000000.0,-146216000.0,-146000000.0,-105607000.0,-106000000.0,-68000000.0,-47000000.0
Total shareholders equity,-862000.0,-1000000.0,34448000.0,34000000.0,42343000.0,42000000.0,-66000000.0,-46000000.0
Investments,3040000.0,,10737000.0,,0.0,,,
Net Debt,17013000.0,17000000,-13677000.0,-14000000,-31816000.0,-32000000,3000000,-3000000
Other Assets,0.0,1000000,0.0,1000000,0.0,1000000,3000000,0
Other Liabilities,36000.0,7000000,0.0,9000000,0.0,7000000,79000000,54000000
