date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY
,revenue,6207000000.0,6915000000.0,6405000000.0,6516000000.0,6543000000.0,6373000000.0,6591000000.0,6123000000.0,5730000000.0,5443000000.0,4819000000.0,4612000000.0,5315000000.0,4970000000.0,6142000000.0,6028000000.0,5984000000.0,5598000000.0,5585000000.0,5917000000.0,5959000000.0,6196000000.0,6505000000.0,6589000000.0,6963000000.0
,costOfRevenue,4683000000.0,4994000000.0,4730000000.0,4652000000.0,4761000000.0,4904000000.0,4859000000.0,4383000000.0,4385000000.0,4308000000.0,3855000000.0,3729000000.0,4132000000.0,3930000000.0,4376000000.0,4297000000.0,4368000000.0,4064000000.0,3998000000.0,4123000000.0,4092000000.0,4312000000.0,4583000000.0,4791000000.0,4997000000.0
,grossProfit,1524000000.0,1921000000.0,1675000000.0,1864000000.0,1782000000.0,1469000000.0,1732000000.0,1740000000.0,1345000000.0,1135000000.0,964000000.0,883000000.0,1183000000.0,1040000000.0,1766000000.0,1731000000.0,1616000000.0,1534000000.0,1587000000.0,1794000000.0,1867000000.0,1884000000.0,1922000000.0,1798000000.0,1966000000.0
,grossProfitRatio,0.245529241179314,0.277801879971077,0.261514441842311,0.286065070595457,0.272352132049519,0.230503687431351,0.26278258230921,0.284174424301813,0.234729493891798,0.208524710637516,0.200041502386387,0.191457068516912,0.222577610536218,0.209255533199195,0.287528492347769,0.287159920371599,0.270053475935829,0.274026438013576,0.284153983885407,0.303194186243029,0.313307601946635,0.304067140090381,0.295465026902383,0.272879040825618,0.282349561970415
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,234000000.0,259000000.0,252000000.0,256000000.0,242000000.0,230000000.0,263000000.0,203000000.0,219000000.0,177000000.0,162000000.0,141000000.0,148000000.0,137000000.0,236000000.0,245000000.0,242000000.0,233000000.0,232000000.0,293000000.0,333000000.0,340000000.0,356000000.0,381000000.0,378000000.0
,GeneralAndAdministrativeExpenses,1051000000.0,1051000000.0,1005000000.0,932000000.0,926000000.0,1042000000.0,1012000000.0,871000000.0,894000000.0,805000000.0,703000000.0,645000000.0,713000000.0,684000000.0,1057000000.0,1076000000.0,1141000000.0,1171000000.0,1166000000.0,1315000000.0,1329000000.0,1466000000.0,1414000000.0,1436000000.0,1458000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-31000000.0,-85000000.0,45000000.0,-8000000.0,-8000000.0,-7000000.0,-10000000.0,-15000000.0,-7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
