date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY
,revenue,215514000000.0,155346738000.0,84324660000.0,45128177000.0,32324363000.0,23880969000.0,17746723000.0,13286392000.0,9767906000.0,11001127000.0,6250225000.0,3971322000.0,3209339000.0,2196353465.64,1524510200.2,1487300727.78,1184119455.7,1335937815.25,2050945066.7,1518929807.6,653227161.6
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,63197000000.0,49965219000.0,33415807000.0,15299458000.0,13782498000.0,10298750000.0,7300425000.0,5845973000.0,4417208000.0,2858820000.0,1602711000.0,1501377000.0,1031304000.0,670880431.89,505957270.8,392139103.38,299024808.8,244571737.45,492481367.3,317509501.6,155997004.8
,SellingAndMarketingExpenses,0.0,0.0,1078668000.0,866837000.0,749271000.0,544603000.0,413927000.0,382949000.0,359251000.0,738439000.0,481297000.0,127836000.0,146496000.0,113857872.66,84393606.6,68103811.16,38088564.45,20108495.35,15258270.2,24748253.4,15107788.8
,otherExpenses,0.0,-30798238000.0,-18063668000.0,137739000.0,912139000.0,679313000.0,502372000.0,312349000.0,232557000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,0.0,4288000000.0,3873000000.0,3391000000.0,3210000000.0,3571000000.0,2824000000.0,2002000000.0,2260000000.0,1930000000.0,1308000000.0,1145000000.0,1193000000.0,981000000.0,724000000.0,619000000.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,90175000000.0,96051605000.0,44910325000.0,15997909000.0,16939158000.0,11020463000.0,8552565000.0,4990644000.0,3038672000.0,2274201000.0,1412681000.0,1460459000.0,1421019000.0,1247246918.73,1869121256.4,1845130461.43,1176467854.6,1509515449.75,4527832789.1,964902631.5,442790400.0
