Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12
Depreciation & Amortization,0.0,,0.0,,0.0,,,
Stock-based compensation,0.0,,0.0,,0.0,,,
Operating Cash Flow,-817250.0,-1000000.0,-479543.0,-0000000.0,0.0,000000.0,000000.0,000000.0
Capital Expenditure,0.0,,0.0,,0.0,,,
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,,
Investment purchases and sales,0.0,0,0.0,0,0.0,0,0,0
Investing Cash flow,50126164.0,50000000.0,216448.0,0000000.0,272666.0,000000.0,000000.0,000000.0
Issuance (repayment) of debt,-0.0,,-0.0,,-0.0,,,
Issuance (buybacks) of shares,-13874.0,,-24571.0,,-272666.0,,,
Dividend payments,-0.0,,-0.0,,-0.0,,,
Financing Cash Flow,-49319611.0,-49000000.0,15000.0,0000000.0,0.0,000000.0,000000.0,000000.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,,
Net cash flow / Change in cash,-10697.0,-0000000.0,-248095.0,-0000000.0,272666.0,000000.0,000000.0,000000.0
Free Cash Flow,-817250.0,-1000000.0,-479543.0,-0000000.0,0.0,000000.0,000000.0,000000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,,
