date,,2020-09-30_FY,2019-09-30_FY,2018-09-30_FY,2017-09-30_FY,2016-09-30_FY,2015-09-30_FY,2014-09-30_FY,2013-09-30_FY,2012-09-30_FY,2011-09-30_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY,2006-09-30_FY,2005-09-30_FY,2004-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,113245000.0,271623000.0,258047000.0,215076000.0,222942000.0,235087000.0,245993000.0,261151000.0,233064000.0,213725000.0,143828000.0,99117000.0,77577000.0,44492000.0,110193000.0,116461000.0,105310000.0
,depreciationAndAmortization,106779000.0,107658000.0,108829000.0,112323000.0,99657000.0,89391000.0,79663000.0,72192000.0,64698000.0,59722000.0,51123000.0,47066000.0,57002000.0,50012000.0,38032000.0,33906000.0,24619000.0
,deferredIncomeTax,13691000.0,5532000.0,-20538000.0,14122000.0,21460000.0,7121000.0,-815000.0,10480000.0,2388000.0,459000.0,-662000.0,10271000.0,3057000.0,4441000.0,2360000.0,9706000.0,7121000.0
,stockBasedCompensation,8426000.0,9180000.0,10519000.0,10507000.0,12580000.0,16778000.0,22107000.0,19201000.0,16852000.0,15560000.0,12818000.0,6476000.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,177030000.0,43564000.0,67972000.0,-88224000.0,-11241000.0,54791000.0,167448000.0,-213355000.0,267377000.0,32019000.0,45390000.0,-25465000.0,13013000.0,84392000.0,1150000.0,-48937000.0,3833000.0
,accountsReceivables,10031000.0,4399000.0,-1949000.0,702000.0,936000.0,774000.0,4020000.0,3053000.0,4288000.0,-8134000.0,-17000.0,3708000.0,0.0,0.0,0.0,0.0,0.0
,inventory,149845000.0,-20272000.0,-16450000.0,-16343000.0,-31397000.0,-80321000.0,-27533000.0,-70282000.0,-55815000.0,-47930000.0,-34247000.0,46208000.0,-29527000.0,40035000.0,-40859000.0,-23123000.0,-33016000.0
,accountsPayables,-26876000.0,-42719000.0,4592000.0,-19601000.0,13621000.0,19575000.0,2726000.0,-7059000.0,16725000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,23710000.0,707474000.0,663910000.0,595938000.0,684162000.0,695403000.0,640612000.0,473164000.0,686519000.0,419142000.0,387123000.0,341733000.0,367198000.0,354185000.0,-6896000.0,413000.0,9159000.0
,otherNonCashItems,4118000.0,3786000.0,3832000.0,3264000.0,3255000.0,3789000.0,3759000.0,3587000.0,5202000.0,213725000.0,0.0,0.0,7277000.0,7179000.0,3371000.0,2633000.0,18345000.0
,netCashProvidedByOperatingActivites,426889000.0,320415000.0,372661000.0,344378000.0,351005000.0,300787000.0,315972000.0,310454000.0,297582000.0,291841000.0,217246000.0,223333000.0,110480000.0,192336000.0,156721000.0,115455000.0,159228000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-110858000.0,-107755000.0,-86507000.0,-89666000.0,-151220000.0,-106532000.0,-76814000.0,-84879000.0,-69086000.0,-59955000.0,-48702000.0,-37320000.0,-45576000.0,-53345000.0,-30342000.0,-52236000.0,0.0
,acquisitionsNet,-13000000.0,-3000000.0,-9000000.0,0.0,-26000000.0,-6000000.0,-5000000.0,-22000000.0,-44000000.0,-87000000.0,-36000000.0,-81000000.0,-53000000.0,-76000000.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22050000.0,-81395000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44600000.0,116345000.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-123775000.0,-95867000.0,-95313000.0,-89625000.0,-174830000.0,-112818000.0,-81754000.0,-106977000.0,-112513000.0,-146735000.0,-85022000.0,-118562000.0,-98162000.0,-121364000.0,-52158000.0,-126045000.0,-139919000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-882921000.0,-777538000.0,-558599000.0,-1216643000.0,-938537000.0,-1814000.0,-234103000.0,-291451000.0,-1921284000.0,-577911000.0,-461567000.0,-245299000.0,0.0,0.0,0.0,0.0,-178000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935000.0,576717000.0,0.0,0.0,0.0
,commonStockRepurchased,-61357000.0,-47434000.0,-166701000.0,-346051000.0,-207312000.0,-227559000.0,-333291000.0,-509704000.0,-200000000.0,0.0,-70000.0,-227000.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2386559000.0,-5661000.0,-11836000.0,0.0
,otherFinancingActivites,-6257000.0,0.0,-1151000.0,-10290000.0,-11401000.0,22084000.0,10750000.0,13387000.0,-16907000.0,-1685000.0,248000.0,0.0,2084000.0,-106654000.0,630000.0,0.0,-35409000.0
,netCashUsedProvidedByFinancingActivities,139761000.0,-229308000.0,-263282000.0,-278395000.0,-229030000.0,-151955000.0,-173734000.0,-396775000.0,-8682000.0,-140049000.0,-126511000.0,-149262000.0,48069000.0,-141883000.0,-32205000.0,3737000.0,-34000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-219000.0,-1040000.0,-530000.0,779000.0,-561000.0,-2551000.0,-1024000.0,193000.0,352000.0,-1070000.0,-666000.0,-850000.0,1129000.0,1612000.0,-3399000.0,12000.0,-570000.0
