date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2010-02-18_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,3566000000.0,8781000000.0,8264000000.0,7933000000.0,5931000000.0,5598000000.0,5368000000.0,5156000000.0,4657000000.0,4317800000.0,3832300000.0,744000000.0,3399800000.0,3662600000.0,3506000000.0,3334400000.0,2975300000.0,2723800000.0,2444800000.0,2224100000.0,2140900000.0,2177200000.0,2082000000.0,1897700000.0,1739400000.0,1592200000.0,1417500000.0,1315620000.0,1128300000.0,1115400000.0,1104000000.0,1047000000.0,916500000.0,814400000.0,709800000.0,468300000.0,433200000.0
,costOfRevenue,3980000000.0,6802000000.0,6591000000.0,5633000000.0,3875000000.0,3701000000.0,3929000000.0,3861000000.0,3709000000.0,2110100000.0,966200000.0,241000000.0,705000000.0,1508600000.0,888400000.0,1113900000.0,2133000000.0,1826500000.0,1605900000.0,1493100000.0,1463700000.0,1451100000.0,1180700000.0,1058600000.0,1030300000.0,1075300000.0,900200000.0,837900000.0,733000000.0,744800000.0,673800000.0,633500000.0,516700000.0,400400000.0,375000000.0,228300000.0,230900000.0
,grossProfit,-414000000.0,1979000000.0,1673000000.0,2300000000.0,2056000000.0,1897000000.0,1439000000.0,1295000000.0,948000000.0,2207700000.0,2866100000.0,503000000.0,2694800000.0,2154000000.0,2617600000.0,2220500000.0,842300000.0,897300000.0,838900000.0,731000000.0,677200000.0,726100000.0,901300000.0,839100000.0,709100000.0,516900000.0,517300000.0,477720000.0,395300000.0,370600000.0,430200000.0,413500000.0,399800000.0,414000000.0,334800000.0,240000000.0,202300000.0
,grossProfitRatio,-0.116096466629277,0.225372964354857,0.202444336882865,0.289928148241523,0.346653178216152,0.338871025366202,0.268070044709389,0.251163692785105,0.203564526519218,0.511302051970911,0.747879863267489,0.676075268817204,0.792634860874169,0.588106809370393,0.746605818596691,0.665936900191939,0.28309750277283,0.329429473529628,0.343136452879581,0.328672271930219,0.316315568218973,0.333501745361014,0.432901056676273,0.442166833535332,0.407669311256755,0.324645145082276,0.364938271604938,0.363113969079217,0.350350084197465,0.33225748610364,0.389673913043478,0.394937917860554,0.436224768139662,0.508349705304519,0.471682163989856,0.51249199231262,0.466989843028624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1062400000.0,1066100000.0,0.0,1099900000.0,965100000.0,978700000.0,973800000.0,527800000.0,480900000.0,459900000.0,458700000.0,456400000.0,431300000.0,452200000.0,428800000.0,405500000.0,923600000.0,786100000.0,754000000.0,353700000.0,408700000.0,343800000.0,324400000.0,283700000.0,299700000.0,258200000.0,168800000.0,149700000.0
,SellingAndMarketingExpenses,101000000.0,313000000.0,326000000.0,357000000.0,225000000.0,211000000.0,199000000.0,179000000.0,168000000.0,175300000.0,153800000.0,27000000.0,131800000.0,147100000.0,160500000.0,169300000.0,157700000.0,0.0,0.0,89900000.0,64700000.0,54100000.0,5100000.0,-2700000.0,-26200000.0,-101500000.0,-93100000.0,-91900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-9000000.0,-26000000.0,-23000000.0,-1000000.0,-1000000.0,1000000.0,20000000.0,-5000000.0,9000000.0,0.0,0.0,675000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
