Date,2019-07-31,2018-07-31,2017-07-31,2016-07-31,2015-07-31,2014-07-31
Cash and cash equivalents,1609000.0,3408000.0,4580000.0,5978000.0,2170000.0,765000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,1609000.0,3408000.0,4580000.0,5978000.0,2170000.0,765000.0
Receivables,1133000.0,1777000.0,1712000.0,1668000.0,1622000.0,1288000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,3225000.0,5817000.0,7034000.0,7963000.0,3958000.0,2223000.0
Property, Plant & Equipment Net,3396000.0,3344000.0,2678000.0,1843000.0,1724000.0,1449000.0
Goodwill and Intangible Assets,2266000.0,2447000.0,2518000.0,2361000.0,2438000.0,3182000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,5782000.0,5916000.0,5497000.0,4470000.0,4394000.0,4738000.0
Total assets,9007000.0,11733000.0,12531000.0,12433000.0,8352000.0,6961000.0
Payables,217000.0,280000.0,69000.0,335000.0,485000.0,520000.0
Short-term debt,141000.0,0.0,0.0,0.0,0.0,0.0
Total current liabilities,2047000.0,1723000.0,1909000.0,1837000.0,1808000.0,1359000.0
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,141000.0,0.0,0.0,0.0,0.0,0.0
Deferred revenue,517000.0,11000.0,0.0,15000.0,4000.0,6000.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Total liabilities,2047000.0,1723000.0,1909000.0,1837000.0,1808000.0,1359000.0
Other comprehensive income,-985000.0,-702000.0,-584000.0,-817000.0,-655000.0,78000.0
Retained earnings (deficit),-15243000.0,-11899000.0,-10336000.0,-9725000.0,-10708000.0,-12295000.0
Total shareholders equity,6960000.0,10010000.0,10622000.0,10596000.0,6444000.0,5502000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,-1468000.0,-3408000.0,-4580000.0,-5978000.0,-2170000.0,-765000.0
Other Assets,483000.0,632000.0,742000.0,317000.0,166000.0,170000.0
Other Liabilities,1689000.0,1443000.0,1840000.0,1502000.0,1323000.0,839000.0
