Date,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30
Depreciation & Amortization,186000.0,130000.0,113000.0,577888.0,613367.0,0.0,0.0,924357.0,888568.0,953243.0,1206935.0
Stock-based compensation,420000.0,404000.0,372000.0,290312.0,205264.0,0.0,0.0,173323.0,242689.0,273033.0,353696.0
Operating Cash Flow,-5049000.0,-5712000.0,-5712000.0,-3884000.0,-3521858.0,0.0,0.0,-2447775.0,-2418910.0,-2686403.0,-3948936.0
Capital Expenditure,444000.0,337000.0,549000.0,479215.0,133305.0,0.0,0.0,55057.0,-137496.0,-21742.0,-57778.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679820.0,2320180.0
Investing Cash flow,401000.0,1859000.0,1514000.0,8756978.0,783660.0,0.0,0.0,-95515.0,-157869.0,1644818.0,2221866.0
Issuance (repayment) of debt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-179995.0,-157465.0,-97484.0
Issuance (buybacks) of shares,2044000.0,-2121000.0,-5932000.0,-10139026.0,-5226740.0,0.0,0.0,-2672711.0,3200791.0,30333.0,-4735.0
Dividend payments,-11000.0,-11000.0,-11000.0,-10632.0,-10632.0,-0.0,-0.0,-10632.0,0.0,0.0,0.0
Financing Cash Flow,7374000.0,521000.0,-9000.0,39308.0,284865.0,0.0,0.0,3103747.0,3010164.0,-270290.0,-102219.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,5326000.0,-3332000.0,-4207000.0,4912286.0,-2453333.0,0.0,0.0,560457.0,433385.0,-1311875.0,-1829289.0
Free Cash Flow,-5493000.0,-6049000.0,-6261000.0,-4363215.0,-3655163.0,0.0,0.0,-2502832.0,-2556406.0,-2708145.0,-4006714.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0925,0.0509,0.7866
