date,,2021-05-31_FY,2020-05-31_FY,2019-05-31_FY,2018-05-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,59642747.0,-1285952.0,29398442.0,1650327.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0
,changeInWorkingCapital,8469916.0,-4006023.0,-21547099.0,18962390.0
,accountsReceivables,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0
,otherNonCashItems,260080242.0,49379416.0,-5235384.0,30165613.0
,netCashProvidedByOperatingActivites,328192905.0,44087441.0,2615959.0,50778330.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-72500000.0,-22000000.0,0.0,-3000000.0
,commonStockIssued,0.0,0.0,0.0,0.0
,commonStockRepurchased,-219958165.0,-1781056.0,-7135435.0,-3031002.0
,dividendsPaid,-26759039.0,-34092634.0,-32663969.0,-35695611.0
,otherFinancingActivites,-9254250.0,13793250.0,28909500.0,0.0
,netCashUsedProvidedByFinancingActivities,-328471454.0,-44080440.0,-10889904.0,-41726613.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-278549.0,7001.0,-8273945.0,9051717.0
,cashAtEndOfPeriod,946122.0,1224671.0,1217670.0,9491615.0
,cashAtBeginningOfPeriod,1224671.0,1217670.0,9491615.0,439898.0
,operatingCashFlow,328192905.0,44087441.0,2615959.0,50778330.0
,capitalExpenditure,0.0,0.0,0.0,0.0
,freeCashFlow,328192905.0,44087441.0,2615959.0,50778330.0
