date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,132578000.0,79327000.0,71695000.0,78837000.0,78702000.0,58583000.0,43214000.0,32694000.0,23818000.0,4034000.0,23735000.0
,depreciationAndAmortization,30537000.0,22879000.0,14157000.0,10801000.0,3569000.0,3998000.0,3604000.0,3129000.0,2024000.0,1375000.0,840000.0
,deferredIncomeTax,-17966000.0,14516000.0,9303000.0,14820000.0,-2579000.0,-10092000.0,-6187000.0,2210000.0,-3731000.0,-2728000.0,1817000.0
,stockBasedCompensation,12883000.0,9851000.0,9740000.0,7167000.0,6492000.0,5661000.0,5237000.0,3368000.0,2014000.0,704000.0,2041000.0
,changeInWorkingCapital,-1326224051.0,9227722000.0,93122000.0,-409414000.0,-764709000.0,-1423289000.0,-2418090000.0,-819106000.0,-712675000.0,-1430988000.0,-19092000.0
,accountsReceivables,-95833000.0,-84141000.0,-34614000.0,-32256000.0,-9982000.0,-12024000.0,-16423000.0,-15091000.0,-9587000.0,2257000.0,-11417000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,38461000.0,15002000.0,9881000.0,-16687000.0,6278000.0,8706000.0,9606000.0,6974000.0,4346000.0,-2369000.0,-6927000.0
,otherWorkingCapital,16120949.0,1342345000.0,-7885377000.0,-7978499000.0,-7569085000.0,-6804376000.0,-5381087000.0,-2962997000.0,-2143891000.0,-1431216000.0,-228000.0
,otherNonCashItems,-6223000.0,-7662000.0,-6307000.0,316124000.0,-361976000.0,-426912000.0,-585900000.0,692331000.0,-1263662000.0,-3920000.0,-199903000.0
,netCashProvidedByOperatingActivites,133025000.0,78280000.0,97474000.0,385600000.0,-290462000.0,-356648000.0,-542498000.0,722035000.0,-1242061000.0,29903000.0,-221546000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-28866000.0,-50257000.0,-38984000.0,-24358000.0,-5117000.0,-2939000.0,-1419000.0,-3894000.0,-2713000.0,-2721000.0,-3287000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,-17000000.0,0.0,0.0,0.0,0.0,19000000.0,73000000.0
,purchasesOfInvestments,-1201913000.0,0.0,-763242000.0,-796594000.0,-5000000.0,-231703000.0,-164940000.0,-542110000.0,-122394000.0,-470414000.0,-305824000.0
,salesMaturitiesOfInvestments,623911000.0,136264000.0,520495000.0,817327000.0,67553000.0,77137000.0,262444000.0,160302000.0,391609000.0,282929000.0,162462000.0
,otherInvestingActivites,12846000.0,5471000.0,16762000.0,-126092000.0,21003000.0,-16538000.0,-64597000.0,-51000000.0,-18892000.0,-3312000.0,63580000.0
,netCashUsedForInvestingActivites,-6424969000.0,-1444435000.0,-104098000.0,-888532000.0,-570696000.0,-1258226000.0,-1921920000.0,-1588015000.0,262130000.0,-760478000.0,-348786000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-25000000.0,-63250000.0,0.0,0.0,0.0,-2000000.0,0.0,0.0,0.0,0.0
,commonStockIssued,923000.0,2150000.0,3585000.0,2716000.0,65088000.0,806000.0,77000.0,97507000.0,94586000.0,28526000.0,59724000.0
,commonStockRepurchased,0.0,-571000.0,-12976000.0,0.0,0.0,0.0,0.0,-7754000.0,0.0,-500000.0,0.0
,dividendsPaid,-14076000.0,-14459000.0,-14459000.0,-14459000.0,-9051000.0,-2314000.0,0.0,0.0,0.0,-44000.0,0.0
,otherFinancingActivites,-2063000.0,-1732000.0,-880000.0,-14761000.0,0.0,0.0,0.0,0.0,0.0,-3056000.0,0.0
,netCashUsedProvidedByFinancingActivities,6772793000.0,1516525000.0,-77564000.0,384546000.0,870247000.0,1508444000.0,2602373000.0,913032000.0,1092377000.0,565421000.0,740249000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,480849000.0,150370000.0,-84188000.0,-118386000.0,-19884000.0,-106430000.0,137955000.0,47052000.0,112446000.0,-165154000.0,169917000.0
,cashAtEndOfPeriod,693354000.0,212505000.0,62135000.0,146323000.0,244709000.0,264593000.0,371023000.0,233068000.0,186016000.0,73570000.0,238724000.0
,cashAtBeginningOfPeriod,212505000.0,62135000.0,146323000.0,264709000.0,264593000.0,371023000.0,233068000.0,186016000.0,73570000.0,238724000.0,68807000.0
,operatingCashFlow,133025000.0,78280000.0,97474000.0,385600000.0,-290462000.0,-356648000.0,-542498000.0,722035000.0,-1242061000.0,29903000.0,-221546000.0
,capitalExpenditure,-28866000.0,735000.0,2213000.0,1680000.0,1051000.0,8890000.0,7991000.0,9506000.0,12062000.0,-2721000.0,2633000.0
,freeCashFlow,104159000.0,28023000.0,58490000.0,361242000.0,-295579000.0,-359587000.0,-543917000.0,718141000.0,-1244774000.0,27182000.0,-224833000.0
