date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY
,revenue,7571000.0,5281000.0,2607000.0,42000000.0,0.0,24026000.0,31623000.0,28928000.0,5410000.0
,costOfRevenue,145000.0,600000.0,466000.0,8400000.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,7426000.0,4681000.0,2141000.0,33600000.0,0.0,24026000.0,31623000.0,28928000.0,5410000.0
,grossProfitRatio,0.980847972526747,0.886385154326832,0.821250479478328,0.8,0.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,65053000.0,71677000.0,69373000.0,75484000.0,94161000.0,39885000.0,25900000.0,28093000.0,10184000.0
,GeneralAndAdministrativeExpenses,33153000.0,24267000.0,23715000.0,23231000.0,18734000.0,13530000.0,7287000.0,3700000.0,4031000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,98206000.0,95944000.0,93088000.0,98715000.0,112895000.0,53415000.0,33187000.0,31793000.0,14215000.0
,costAndExpenses,98351000.0,96544000.0,93554000.0,107115000.0,112895000.0,53415000.0,33187000.0,31793000.0,14215000.0
,interestExpense,5099000.0,5726000.0,3534000.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,1824000.0,2501000.0,2678000.0,2639000.0,1295000.0,829000.0,302000.0,592000.0,675000.0
,EBITDA,-87388000.0,-86410000.0,-85082000.0,-60521000.0,-111600000.0,-28821000.0,-2845000.0,-5831000.0,-8130000.0
,EBITDARatio,-11.5424646678114,-16.3624313576974,-32.6359800537016,-1.44097619047619,0.0,-1.19957545991842,-0.0899661638680707,-0.201569413716814,-1.50277264325323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-90780000.0,-91263000.0,-90947000.0,-65115000.0,-112895000.0,-29389000.0,-1564000.0,-2865000.0,-8805000.0
,operatingIncomeRatio,-11.9904900277374,-17.2813861011172,-34.885692366705,-1.55035714285714,0.0,-1.22321651544161,-0.0494576732125352,-0.0990389933628319,-1.6275415896488
,totalOtherIncomeExpensesNet,3531000.0,3374000.0,347000.0,-1955000.0,-508000.0,261000.0,1583000.0,3558000.0,980000.0
,incomeBeforeTax,-94311000.0,-94637000.0,-91294000.0,-63160000.0,-112387000.0,-29650000.0,-3147000.0,-6423000.0,-9785000.0
,incomeBeforeTaxRatio,-12.4568749174482,-17.9202802499527,-35.0187955504411,-1.50380952380952,0.0,-1.23407974694081,-0.0995161749359643,-0.222034015486726,-1.8086876155268
,incomeTaxExpense,2000.0,303000.0,4000.0,1179000.0,0.0,-29000.0,67000.0,141000.0,0.0
,netIncome,-94313000.0,-94940000.0,-91298000.0,-64339000.0,-112387000.0,-29621000.0,-3214000.0,-6564000.0,-9785000.0
,netIncomeRatio,-12.4571390833443,-17.9776557470176,-35.0203298810894,-1.53188095238095,0.0,-1.23287272121868,-0.101634886000696,-0.226908185840708,-1.8086876155268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-1.05,-1.47,-1.62,-1.36,-2.8,-1.29,-0.31,-0.23,-0.733249
,EPSDiluted,-1.05,-1.47,-1.62,-1.36,-2.8,-1.29,-0.31,-0.23,-0.733249
,weightedAverageShsOut,90988968.0,64478066.0,56219919.0,47435331.0,40118522.0,22892640.0,10248337.0,13216414.0,13344711.0
,weightedAverageShsOutDil,90988968.0,64478066.0,56219919.0,47435331.0,40118522.0,22892640.0,10248337.0,13216414.0,13344711.0
