date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY
,revenue,458704000.0,468186000.0,454272000.0,355047000.0,312113000.0,289382000.0,298634000.0,381021000.0,366190000.0,304429000.0,229620000.0,209329000.0,237538000.0,216662000.0,193771000.0,189796000.0,150855000.0,124863000.0,100671400.0,87016500.0,77979700.0,69211700.0,67000000.0,67700000.0,48600000.0,55400000.0,45100000.0,45500000.0,38700000.0,29300000.0,22300000.0,19000000.0,17900000.0,18900000.0,15900000.0
,costOfRevenue,286114000.0,290832000.0,271641000.0,207655000.0,183825000.0,177480000.0,184138000.0,209674000.0,205065000.0,181361000.0,140538000.0,148903000.0,136407000.0,120932000.0,111413000.0,104117000.0,78597000.0,65989000.0,56795800.0,45196400.0,38457200.0,32734100.0,36800000.0,37600000.0,26000000.0,27300000.0,21900000.0,20900000.0,17800000.0,14300000.0,12700000.0,10100000.0,10200000.0,10700000.0,9000000.0
,grossProfit,172590000.0,177354000.0,182631000.0,147392000.0,128288000.0,111902000.0,114496000.0,171347000.0,161125000.0,123068000.0,89082000.0,60426000.0,101131000.0,95730000.0,82358000.0,85679000.0,72258000.0,58874000.0,43875600.0,41820100.0,39522500.0,36477600.0,30200000.0,30100000.0,22600000.0,28100000.0,23200000.0,24600000.0,20900000.0,15000000.0,9600000.0,8900000.0,7700000.0,8200000.0,6900000.0
,grossProfitRatio,0.376255711744393,0.378810985377606,0.402030061284869,0.415133771021865,0.411030620320205,0.386693021680685,0.383399077131204,0.449704871909947,0.440003823151916,0.404258464206761,0.387954010974654,0.288665211222525,0.425746617383324,0.441840285790771,0.425027480892394,0.451426795085249,0.47898975837725,0.471508773615883,0.435829838464549,0.480599656387007,0.506830623867494,0.527043837963812,0.450746268656716,0.444608567208272,0.465020576131687,0.507220216606498,0.514412416851441,0.540659340659341,0.540051679586563,0.511945392491468,0.430493273542601,0.468421052631579,0.430167597765363,0.433862433862434,0.433962264150943
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,24070000.0,26428000.0,26076000.0,21298000.0,18808000.0,21206000.0,21644000.0,20750000.0,18041000.0,12635000.0,10630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,46593000.0,42981000.0,37660000.0,32128000.0,28516000.0,27057000.0,33536000.0,29715000.0,42483000.0,34842000.0,34066000.0,64987000.0,59717000.0,53142000.0,53412000.0,47300000.0,42332000.0,31996100.0,32214600.0,27745100.0,26284600.0,23000000.0,22600000.0,16800000.0,18700000.0,16200000.0,17000000.0,13900000.0,10300000.0,8500000.0,5800000.0,5300000.0,4900000.0,4400000.0
,SellingAndMarketingExpenses,0.0,80470000.0,74201000.0,56862000.0,54322000.0,53054000.0,59523000.0,60432000.0,51337000.0,23318000.0,22414000.0,22059000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,154339000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,153622000.0,151133000.0,143610000.0,120598000.0,107748000.0,100378000.0,107786000.0,115612000.0,101802000.0,83842000.0,69891000.0,66755000.0,64987000.0,59717000.0,53142000.0,53412000.0,47300000.0,42332000.0,31996100.0,31452700.0,30694300.0,29499400.0,26100000.0,25300000.0,19100000.0,22100000.0,19700000.0,20500000.0,17100000.0,13200000.0,9900000.0,6800000.0,6000000.0,5500000.0,4900000.0
,costAndExpenses,439736000.0,441965000.0,415251000.0,328253000.0,291573000.0,277858000.0,291924000.0,325286000.0,306867000.0,265203000.0,210429000.0,215658000.0,201394000.0,180649000.0,164555000.0,157529000.0,125897000.0,108321000.0,88791900.0,76649100.0,69151500.0,62233500.0,62900000.0,62900000.0,45100000.0,49400000.0,41600000.0,41400000.0,34900000.0,27500000.0,22600000.0,16900000.0,16200000.0,16200000.0,13900000.0
,interestExpense,5178000.0,6708000.0,3568000.0,1607000.0,1343000.0,2136000.0,2435000.0,1555000.0,1740000.0,3569000.0,3017000.0,3253000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,19902000.0,18643000.0,18891000.0,16959000.0,16327000.0,16474000.0,16332000.0,14845000.0,13487000.0,13546000.0,14381000.0,13487000.0,11613000.0,10088000.0,6674000.0,7016000.0,5800000.0,4053000.0,2337400.0,2143800.0,2949200.0,3214800.0,3100000.0,2700000.0,2300000.0,3400000.0,3500000.0,3500000.0,3200000.0,2900000.0,1400000.0,1000000.0,700000.0,600000.0,500000.0
,EBITDA,38870000.0,44864000.0,57912000.0,43753000.0,36867000.0,27998000.0,23042000.0,70580000.0,72810000.0,52772000.0,33572000.0,7158000.0,47757000.0,46101000.0,35890000.0,39283000.0,30758000.0,20595000.0,14216900.0,12511200.0,11777400.0,10193000.0,7200000.0,7500000.0,5800000.0,9400000.0,7000000.0,7600000.0,7000000.0,4700000.0,1100000.0,3100000.0,2400000.0,3300000.0,2500000.0
,EBITDARatio,0.0847387421954027,0.095825163503394,0.127483093829248,0.123231572158052,0.118120680650918,0.0967510073190454,0.0771579927268831,0.185239133801024,0.198831207842923,0.173347480036396,0.146206776413204,0.034194975373694,0.201049937273194,0.212778429073857,0.185218634367372,0.206974857215115,0.203891153756919,0.164940775089498,0.141220843258363,0.143779628001586,0.151031614638169,0.14727278769341,0.107462686567164,0.110782865583456,0.119341563786008,0.169675090252708,0.155210643015521,0.167032967032967,0.180878552971576,0.160409556313993,0.0493273542600897,0.163157894736842,0.134078212290503,0.174603174603175,0.157232704402516
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,18968000.0,26221000.0,39021000.0,26794000.0,20540000.0,11524000.0,6710000.0,55735000.0,59323000.0,39226000.0,19191000.0,-6329000.0,36144000.0,36013000.0,29216000.0,32267000.0,24958000.0,16542000.0,11879500.0,10367400.0,8828200.0,6978200.0,4100000.0,4800000.0,3500000.0,6000000.0,3500000.0,4100000.0,3800000.0,1800000.0,-300000.0,2100000.0,1700000.0,2700000.0,2000000.0
,operatingIncomeRatio,0.0413512853604939,0.0560055191740035,0.0858978761622992,0.0754660650561757,0.0658094984829213,0.0398227947833659,0.0224689754013274,0.146278026670446,0.162000600781015,0.128851062152423,0.0835772145283512,-0.0302347023107166,0.152160917411109,0.166217426221488,0.150775915900728,0.170008851609096,0.165443637930463,0.132481199394536,0.118002729672976,0.119142921170123,0.113211515304624,0.100823993631135,0.0611940298507463,0.0709010339734121,0.0720164609053498,0.108303249097473,0.0776053215077605,0.0901098901098901,0.0981912144702842,0.0614334470989761,-0.0134529147982063,0.110526315789474,0.0949720670391061,0.142857142857143,0.125786163522013
,totalOtherIncomeExpensesNet,4657000.0,-149000.0,-1401000.0,-82000.0,-37000.0,-135000.0,-322000.0,-167000.0,-598000.0,-546000.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,761900.0,0.0,-89000.0,1100000.0,0.0,0.0,0.0,-1100000.0,0.0,100000.0,0.0,0.0,200000.0,500000.0,400000.0,200000.0
,incomeBeforeTax,18447000.0,19012000.0,33596000.0,24853000.0,18917000.0,8962000.0,3644000.0,53834000.0,56852000.0,35223000.0,16174000.0,-9538000.0,32173000.0,30526000.0,26552000.0,30939000.0,23733000.0,16182000.0,11278100.0,9023300.0,7185300.0,5222500.0,3200000.0,3300000.0,2600000.0,5000000.0,1500000.0,3300000.0,3000000.0,500000.0,-1000000.0,2100000.0,2100000.0,2800000.0,1900000.0
,incomeBeforeTaxRatio,0.0402154766472496,0.0406077926294251,0.0739556917441533,0.0699991832067304,0.0606094587537206,0.0309694452315624,0.012202227475773,0.141288800354836,0.155252737649854,0.115701854948116,0.0704381151467642,-0.0455646374845339,0.135443592183145,0.14089226537187,0.13702772860748,0.163011865371241,0.157323257432634,0.129598039451239,0.112028838379123,0.103696425390587,0.0921432116307193,0.0754568952937148,0.0477611940298507,0.0487444608567208,0.0534979423868313,0.0902527075812274,0.0332594235033259,0.0725274725274725,0.0775193798449612,0.0170648464163823,-0.0448430493273543,0.110526315789474,0.11731843575419,0.148148148148148,0.119496855345912
