date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,revenue,1688189405.0,1858897406.0,1834063697.0,1794872578.0,1678924756.0,1543617706.0,1375501159.0,1171864171.0,1099559521.0,1023762049.0,816263414.0,544522993.0,623799822.0,653933236.0,572267073.0,536483974.0,505666335.0,469019365.0,395258436.0,310304996.0,297420802.0,262200000.0,222300000.0,186300000.0,148700000.0,111600000.0
,costOfRevenue,1082745885.0,1170589437.0,1143597005.0,1100344312.0,1010472512.0,939841654.0,836611464.0,741131269.0,726740962.0,662181714.0,520573101.0,366968216.0,420672934.0,426236241.0,373163484.0,337843632.0,297920747.0,272518466.0,235611182.0,188301693.0,160325471.0,138400000.0,123800000.0,111900000.0,89100000.0,64300000.0
,grossProfit,605443520.0,688307969.0,690466692.0,694528266.0,668452244.0,603776052.0,538889695.0,430732902.0,372818559.0,361580335.0,295690313.0,177554777.0,203126888.0,227696995.0,199103589.0,198640342.0,207745588.0,196500899.0,159647254.0,122003303.0,137095331.0,123800000.0,98500000.0,74400000.0,59600000.0,47300000.0
,grossProfitRatio,0.358634829840079,0.370277545591454,0.376468218159165,0.386951293653337,0.398143062463724,0.391143512835554,0.391776983591767,0.367562139588616,0.339061735067273,0.353187867584257,0.362248641711143,0.326073975355527,0.325628319913179,0.348196088629451,0.347920749583298,0.370263328686124,0.410835314951311,0.418961163789047,0.403906000376928,0.393172216279753,0.460947351624719,0.472158657513349,0.443094916779127,0.399355877616747,0.400806993947545,0.423835125448029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,115935047.0,114687309.0,107134862.0,99726438.0,94238032.0,88392919.0,84175738.0,76495051.0,85003602.0,81634158.0,64100411.0,47128086.0,51888922.0,50715057.0,41773792.0,35059401.0,30833627.0,26613770.0,22973027.0,20684996.0,16900659.0,13800000.0,11000000.0,9100000.0,7500000.0,6000000.0
,GeneralAndAdministrativeExpenses,89952381.0,85083056.0,75206283.0,71443476.0,62471277.0,56616694.0,55879783.0,49496038.0,48359725.0,48578252.0,40617833.0,35807622.0,42425050.0,35280846.0,30882821.0,27286404.0,26845748.0,23311853.0,21474066.0,19259065.0,17641306.0,14100000.0,12100000.0,10800000.0,11700000.0,12900000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,5270534.0,647034.0,2659015.0,-1004035.0,-5969290.0,-165794.0,10475589.0,16597513.0,9863188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,205887428.0,199770365.0,182341145.0,171169914.0,156709309.0,145009613.0,140055521.0,125991089.0,133363327.0,130212410.0,104718244.0,82935708.0,94313972.0,88881232.0,72656613.0,62345805.0,57679375.0,49925623.0,44447093.0,39944061.0,46684340.0,38300000.0,31200000.0,26900000.0,23700000.0,22400000.0
,costAndExpenses,1288633313.0,1370359802.0,1325938150.0,1271514226.0,1167181821.0,1084851267.0,976666985.0,867122358.0,860104289.0,792394124.0,625291345.0,449903924.0,514986906.0,515117473.0,445820097.0,400189437.0,355600122.0,322444089.0,280058275.0,228245754.0,207009811.0,176700000.0,155000000.0,138800000.0,112800000.0,86700000.0
