date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-247752000.0,-290170000.0,-80546000.0,-47671000.0,-6227000.0,-1450000.0,689000.0,-35105000.0
,depreciationAndAmortization,1136000.0,932000.0,431000.0,437000.0,682000.0,1819000.0,2512000.0,2927000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,57633000.0,26381000.0,10550000.0,6530000.0,2367000.0,2075000.0,1523000.0,2361000.0
,changeInWorkingCapital,-172683000.0,190909000.0,200861000.0,57840000.0,11213000.0,-32164000.0,-28646000.0,-1376000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,198000.0,-223000.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,2879000.0,-2114000.0,1955000.0,-1763000.0,299000.0,2754000.0,-1656000.0,182000.0
,otherWorkingCapital,-26918000.0,477262000.0,286353000.0,85492000.0,27652000.0,16439000.0,48603000.0,77249000.0
,otherNonCashItems,29429000.0,1374000.0,888000.0,138000.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,-322340000.0,-251151000.0,-83783000.0,-83256000.0,-19259000.0,-44620000.0,-88630000.0,-68946000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-927000.0,-2673000.0,-679000.0,-344000.0,-340000.0,-272000.0,-183000.0,-325000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-927000.0,-2673000.0,-679000.0,-343000.0,-339000.0,-260000.0,-140000.0,2151000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,-45000.0,-45000.0,-45000.0,0.0,0.0
,commonStockIssued,333278000.0,492453000.0,233496000.0,108910000.0,64705000.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-145000.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-460000.0
,otherFinancingActivites,293165000.0,-540000.0,-2917000.0,-928000.0,-2607000.0,-864000.0,0.0,2252000.0
,netCashUsedProvidedByFinancingActivities,477093000.0,580358000.0,292472000.0,128647000.0,62322000.0,-870000.0,1000.0,1651000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,153826000.0,326534000.0,208010000.0,45048000.0,42724000.0,-45750000.0,-88769000.0,-65144000.0
,cashAtEndOfPeriod,818150000.0,664324000.0,337790000.0,129780000.0,84732000.0,42008000.0,87758000.0,176527000.0
,cashAtBeginningOfPeriod,664324000.0,337790000.0,129780000.0,84732000.0,42008000.0,87758000.0,176527000.0,241671000.0
,operatingCashFlow,-322340000.0,-251151000.0,-83783000.0,-83256000.0,-19259000.0,-44620000.0,-88630000.0,-68946000.0
,capitalExpenditure,-927000.0,-2673000.0,-679000.0,-344000.0,-340000.0,-272000.0,-183000.0,-325000.0
,freeCashFlow,-323267000.0,-253824000.0,-84462000.0,-83600000.0,-19599000.0,-44892000.0,-88813000.0,-69271000.0
